task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
return,1,ATI,boost_full,44,0.1431353019034566,0.1079717342268542,-0.0762917225532868,-0.0346641972054123,-0.0055477726907552,0,2023-01-31,2026-08-31,0.6818181818181818,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,core_ols,44,0.1358044577232663,0.1068725733412854,0.031132172269613,0.0011412210196509,0.090438597400814,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,forest_full,44,0.1373939591621072,0.1049547113662507,0.0083195301555837,-0.0422160116713326,0.2703269988704556,0,2023-01-31,2026-08-31,0.6363636363636364,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,historical_mean,44,0.137969076784945,0.1052432745629083,0.0,-0.0241970629420741,-0.1548563228320349,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,44,0.1403387707760511,0.1085010958909846,-0.0346460879331504,-0.0388670953458705,0.1304355037553296,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,CRS,boost_full,44,0.1471112238748862,0.1180931746591163,-0.0210170924907819,-0.0445068665065515,0.0239607219048983,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,core_ols,44,0.1506037879193894,0.1272501123494902,-0.0700724570858719,-0.0073877846102206,-0.1269961892432317,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,forest_full,44,0.1471540405733036,0.1185690714946918,-0.021611512707385,-0.0479737577537894,0.0817995876174765,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,historical_mean,44,0.1455892478271533,0.117394687702845,0.0,-0.0434808602733282,-0.1555934292323482,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ridge_full,44,0.1519654719333593,0.1277257928752591,-0.0895100524548058,-0.0219386485892186,-0.0707234268941286,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,ENTG,boost_full,44,0.1515554772979462,0.1174230387383822,-0.0995755551935648,-0.0074099635945437,-0.2732781591264488,0,2023-01-31,2026-08-31,0.3636363636363636,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,core_ols,44,0.1502044354884656,0.1212158504605714,-0.0800585967385689,-0.0101094751165801,0.0041619363730114,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,forest_full,44,0.1479904132532558,0.1115726230061515,-0.0484530055618781,-0.024629116589459,-0.0098656647451231,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,historical_mean,44,0.1445303646540496,0.1121163164192182,0.0,-0.0013649265366219,-0.2350457294149121,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,ridge_full,44,0.1504783349822255,0.1189884157573613,-0.0840011863740894,-0.0093797521187694,-0.0555530275550183,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,MTRN,boost_full,44,0.1327810518396894,0.1044195216046966,0.0086547892354078,-0.011812407178157,0.134604844273667,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,core_ols,44,0.1389031090874626,0.1074768426553086,-0.0848673451684112,-0.0354429770804734,0.0684465001929139,0,2023-01-31,2026-08-31,0.5681818181818182,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,forest_full,44,0.1333720794563695,0.1051463635298968,-0.0001900930635536,-0.015861863797312,0.0713563868877752,0,2023-01-31,2026-08-31,0.5681818181818182,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,historical_mean,44,0.1333594047097888,0.106376673415054,0.0,-0.0121142218315856,-0.1798810973136095,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,ridge_full,44,0.138344906388682,0.1049622334325386,-0.0761654653369374,-0.0148454391420811,-0.0300447394291912,0,2023-01-31,2026-08-31,0.6136363636363636,0.5454545454545454,0.5454545454545454,0.0,,,,
return,3,ATI,boost_full,38,0.2287307582693211,0.1891906098691938,-0.0842755645745714,-0.0876606954446847,0.0990864453474487,0,2023-07-31,2026-08-31,0.6578947368421053,0.7105263157894737,0.7105263157894737,0.0,,,,
return,3,ATI,core_ols,38,0.1921426045824395,0.1509426441512753,0.2348653356926122,0.0045664819962074,0.3923914778629137,0,2023-07-31,2026-08-31,0.7105263157894737,0.7105263157894737,0.7105263157894737,0.0,,,,
