task,ticker,expanded,reduced,excluded,full_mean,mean_loss_reduction,pvalue,sign_flip
variance,MTRN,pooled_ridge,historical_variance63,2023-01,-0.0399815414239587,-0.046751416068739,0.459,False
variance,MTRN,pooled_ridge,historical_variance63,2023-02,-0.0399815414239587,-0.0228393390133245,0.681,False
variance,MTRN,pooled_ridge,historical_variance63,2023-03,-0.0399815414239587,-0.0459665027952159,0.444,False
variance,MTRN,pooled_ridge,historical_variance63,2023-04,-0.0399815414239587,-0.0482397408680491,0.431,False
variance,MTRN,pooled_ridge,historical_variance63,2023-05,-0.0399815414239587,-0.0393810613694438,0.505,False
variance,MTRN,pooled_ridge,historical_variance63,2023-06,-0.0399815414239587,-0.0392304327068603,0.505,False
variance,MTRN,pooled_ridge,historical_variance63,2023-07,-0.0399815414239587,-0.0366246015043343,0.547,False
variance,MTRN,pooled_ridge,historical_variance63,2023-08,-0.0399815414239587,-0.0391584446785284,0.503,False
variance,MTRN,pooled_ridge,historical_variance63,2023-09,-0.0399815414239587,-0.036744283005934,0.546,False
variance,MTRN,pooled_ridge,historical_variance63,2023-10,-0.0399815414239587,-0.0301328857261389,0.656,False
variance,MTRN,pooled_ridge,historical_variance63,2023-11,-0.0399815414239587,-0.059995227995318,0.304,False
variance,MTRN,pooled_ridge,historical_variance63,2023-12,-0.0399815414239587,-0.0364111027848787,0.561,False
variance,MTRN,pooled_ridge,historical_variance63,2024-01,-0.0399815414239587,-0.0389874948227443,0.519,False
variance,MTRN,pooled_ridge,historical_variance63,2024-02,-0.0399815414239587,-0.0455443119169204,0.425,False
variance,MTRN,pooled_ridge,historical_variance63,2024-03,-0.0399815414239587,-0.0405767094391939,0.489,False
variance,MTRN,pooled_ridge,historical_variance63,2024-04,-0.0399815414239587,-0.0401435102452041,0.495,False
variance,MTRN,pooled_ridge,historical_variance63,2024-05,-0.0399815414239587,-0.0402247767025508,0.493,False
variance,MTRN,pooled_ridge,historical_variance63,2024-06,-0.0399815414239587,-0.0348218736105296,0.584,False
