task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
variance,1,ATI,arch1,44,0.0008083450625722,0.0006797304549315,-0.7747294189177889,0.0004640014594173,-0.2553935987771651,0,2023-01-31,2026-08-31,,,,,0.3878267377875711,0.0138510908031697,0.0119379403020993,-0.2701432800687058
variance,1,ATI,business_pair_ridge,44,0.000513831568874,0.0003202911776075,0.2828993195879792,-4.71549105516e-05,0.3664439814300953,0,2023-01-31,2026-08-31,,,,,0.2118751990480688,0.0082322991317208,0.0061693022985739,0.3221915579884141
variance,1,ATI,ewma94,44,0.0007130653571137,0.0004622593591499,-0.3810113369226378,1.4767623420604542e-05,-0.035328912571645,0,2023-01-31,2026-08-31,,,,,0.3662939546307844,0.011577245048624,0.0084327277469671,-0.0424746876585768
variance,1,ATI,garch11,44,0.000715246753585,0.0005119414666673,-0.3894737903858412,0.0002655019013909,-0.1899930315975826,0,2023-01-31,2026-08-31,,,,,0.311119344897146,0.0119482798666035,0.0093057488008624,-0.2405405009255181
variance,1,ATI,garchx_business,44,0.0006064636912868,0.0004098481261157,0.0010398165122996,0.0001357781906958,0.0526086043327092,0,2023-01-31,2026-08-31,,,,,0.2629312354045469,0.0101407307448196,0.0076482604376335,0.028346330232621
variance,1,ATI,garchx_industry,44,0.0005709409441825,0.0003829825292199,0.1146378606063597,6.22501846440591e-05,0.1783192559491962,0,2023-01-31,2026-08-31,,,,,0.2391549102339417,0.0092110661481254,0.0071880381082684,0.1792054567504846
variance,1,ATI,garchx_market,44,0.0005951627287006,0.0004099508375577,0.0379225817448971,0.0001004166708476,0.0907057156874288,0,2023-01-31,2026-08-31,,,,,0.2556867845768776,0.0098694878824514,0.0076427003141598,0.0514398120208035
variance,1,ATI,historical_variance252,44,0.0005811527329695,0.0003737345344693,0.0826836432254869,4.879289582103183e-05,-0.0513320783334908,0,2023-01-31,2026-08-31,,,,,0.2698950859076769,0.0096372067342749,0.0071339375250077,-0.0538028110642936
variance,1,ATI,historical_variance63,44,0.0006067792428751,0.0003850320195674,0.0,2.850803118200911e-05,0.1248591933800731,0,2023-01-31,2026-08-31,,,,,0.2960573477040436,0.0100048382873956,0.0072914855816481,0.1074585521374331
variance,1,ATI,pooled_ridge,44,0.000500967249841,0.0003505582386999,0.3183565919624966,4.544254622101821e-05,0.4133735261129813,0,2023-01-31,2026-08-31,,,,,0.2002429225178104,0.0082301279758579,0.0066227538502721,0.404028608727739
variance,1,ATI,variance_boost,44,0.0005517577870916,0.0003493259370299,0.1731332833122512,-2.6464122006829545e-05,0.0290631501601823,0,2023-01-31,2026-08-31,,,,,0.2461562632809675,0.008869972767156,0.0067160354642967,0.0175605594938507
variance,1,ATI,variance_forest,44,0.0005570297693151,0.0003408538900193,0.1572565609942615,-4.55763385357659e-05,0.0113824640806766,0,2023-01-31,2026-08-31,,,,,0.253219935047746,0.0088682825040499,0.0065434806345601,0.0297513067463382
variance,1,ATI,variance_ridge,44,0.0005265239330263,0.0003223296870685,0.247034978137383,-4.329171991887725e-05,0.2840920540283518,0,2023-01-31,2026-08-31,,,,,0.2279237017718251,0.0083809961914436,0.0062133457709956,0.2725338105393665
variance,1,CRS,arch1,44,0.000649284033167,0.0005156509457679,-0.0447972876214188,0.0002995522227205,-0.1626516946977063,0,2023-01-31,2026-08-31,,,,,0.2150595168419267,0.0103842120107755,0.0085884797134016,-0.1467302506779116
variance,1,CRS,business_pair_ridge,44,0.0005329936075267,0.0003485001239642,0.2959449936515507,-8.353038843291818e-05,0.2494550388519582,0,2023-01-31,2026-08-31,,,,,0.1493450776717738,0.0080054577276701,0.0059152212043765,0.2464611873142255
variance,1,CRS,ewma94,44,0.0006902549354135,0.000470933531599,-0.1808143748991888,3.323392799247744e-06,-0.0371949649486331,0,2023-01-31,2026-08-31,,,,,0.2382937132614532,0.0103842099450232,0.0078371301758369,-0.0281702275552449
variance,1,CRS,garch11,44,0.0005741342310479,0.0004072836351027,0.1830612949208766,0.000118414772628,0.0091129242733597,0,2023-01-31,2026-08-31,,,,,0.1688988212761536,0.0088885426919246,0.0068567507455688,0.0170738904971982
variance,1,CRS,garchx_business,44,0.0006871697075591,0.0004152515683484,-0.1702822092149636,8.740536025245454e-05,0.0163947058355767,0,2023-01-31,2026-08-31,,,,,0.1795091889091617,0.0097692753021307,0.0067229958452204,0.057926070777474
variance,1,CRS,garchx_industry,44,0.0006057012202236,0.0003768169357596,0.0907580023285069,1.2522184949477528e-06,0.0060732218313898,0,2023-01-31,2026-08-31,,,,,0.1685121325903212,0.0089359223753056,0.0062753132602572,0.0212245950613709
variance,1,CRS,garchx_market,44,0.0005618179836349,0.0003584903758273,0.2177350643949033,1.56930595443591e-05,0.077250495558098,0,2023-01-31,2026-08-31,,,,,0.1516984753714217,0.0084195279143984,0.0060387090297437,0.0888900839821837
variance,1,CRS,historical_variance252,44,0.0005550570392146,0.0003756033735088,0.2364494052298513,2.2704116395618192e-05,-0.0035860663508045,0,2023-01-31,2026-08-31,,,,,0.1713548284433857,0.0085233831119392,0.006434394298521,-0.0208961290727687
variance,1,CRS,historical_variance63,44,0.000635212016006,0.0004259155972186,0.0,1.0809424605579556e-05,-0.0994946452222772,0,2023-01-31,2026-08-31,,,,,0.2212561177488044,0.0098455288809802,0.007195751245571,-0.1096405876438207
variance,1,CRS,pooled_ridge,44,0.000542236187198,0.0003675232675294,0.2713154092617691,-5.506035130353636e-05,0.2513276940841848,0,2023-01-31,2026-08-31,,,,,0.1579729015196234,0.0082304830403459,0.0062042718422154,0.2385617617772548
variance,1,CRS,variance_boost,44,0.0005446567878682,0.0003513926968063,0.2647950350471209,-0.0001438968388365,0.221095366490518,0,2023-01-31,2026-08-31,,,,,0.1761101296751873,0.0081218553549403,0.0060248057255215,0.2270773232426754
variance,1,CRS,variance_forest,44,0.0005391195782237,0.000362870794242,0.2796678520071081,-9.25080732468318e-05,0.191139814619784,0,2023-01-31,2026-08-31,,,,,0.1611178452083889,0.0080687656513203,0.0062033994824054,0.1885846457203021
variance,1,CRS,variance_ridge,44,0.000530963203644,0.0003475008079892,0.3012988784824674,-6.768358063915e-05,0.2440751810046076,0,2023-01-31,2026-08-31,,,,,0.1423292419953847,0.0079106177998524,0.0058797836685331,0.2559148052580584
variance,1,ENTG,arch1,44,0.001159002718727,0.0006099343007385,0.0866835967646498,-0.0002822627119732,0.3431529906150777,0,2023-01-31,2026-08-31,,,,,0.2810379219948229,0.0123650603970476,0.0082749518458069,0.4353746359524117
variance,1,ENTG,business_pair_ridge,44,0.0011198968110917,0.0005427177535898,0.1472762398713053,-0.000292719610327,0.3388555113593493,0,2023-01-31,2026-08-31,,,,,0.2299008268843617,0.0116076319445551,0.0070255541607131,0.4611797781765756
variance,1,ENTG,ewma94,44,0.0012178374920771,0.0006427035502756,-0.008395800327962,-0.0001161105914471,0.2548607875726552,0,2023-01-31,2026-08-31,,,,,0.3016772211026668,0.0129678770508206,0.0083734768695647,0.3814805452868207
variance,1,ENTG,garch11,44,0.0011475874868222,0.0005640714555648,0.1045858431764998,-0.0001363567590265,0.2641400057431484,0,2023-01-31,2026-08-31,,,,,0.2574661240136913,0.0120790443500611,0.0073724918974448,0.3859717688307333
variance,1,ENTG,garchx_business,44,0.0012258002172152,0.0005909953839595,-0.0216255276003269,-0.0002617124979534,0.2095749466916747,0,2023-01-31,2026-08-31,,,,,0.3267363260293408,0.0129871398646835,0.0076678587098921,0.328281664740272
variance,1,ENTG,garchx_industry,44,0.0012344674142615,0.0005777772301204,-0.0361237037275576,-0.0003544349009546,0.2496231843355238,0,2023-01-31,2026-08-31,,,,,0.3289572535064711,0.0130624023911028,0.0074605403351317,0.381871085592496
variance,1,ENTG,garchx_market,44,0.0012327294709546,0.0005913072741794,-0.0332083466082362,-0.0003764892290634,0.235805717953184,0,2023-01-31,2026-08-31,,,,,0.320419178419887,0.0130218025998615,0.0075868555121759,0.3783999980476918
variance,1,ENTG,historical_variance252,44,0.0011539426894665,0.0006178097600304,0.0946409888725097,-8.849024085916588e-05,0.1551884124179796,0,2023-01-31,2026-08-31,,,,,0.300917920159154,0.0126358933234783,0.0083532730175696,0.2437711104613671
variance,1,ENTG,historical_variance63,44,0.0012127571000485,0.0006687672413401,0.0,-3.827892775972271e-05,0.2185897960997399,0,2023-01-31,2026-08-31,,,,,0.3155439066983004,0.0130651912191509,0.0087009397310734,0.3484600306986652
variance,1,ENTG,pooled_ridge,44,0.0010874368376957,0.0006242932926045,0.1959918887460345,-0.0001391939997131,0.3511046278594176,0,2023-01-31,2026-08-31,,,,,0.1947352742040033,0.0114376019228354,0.0081804102954938,0.4409327179653726
variance,1,ENTG,variance_boost,44,0.0011906202294238,0.0005887321913864,0.0361735003389079,-0.0003776800413279,0.1949836971430968,0,2023-01-31,2026-08-31,,,,,0.339453080410382,0.0127869570107839,0.0077619500739816,0.3030769336776142
