task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,volatility_rmse,volatility_mae,volatility_correlation
excess_return,1,ATI,ridge_full,44,0.1296373387963451,0.0998635872293397,-0.054871790033744,-0.0309824334180718,0.0595992213301282,0,2023-01-31,2026-08-31,0.4318181818181818,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,CRS,ridge_full,44,0.1424068196773,0.1168022990141397,-0.0838282434609927,-0.018224227435465,-0.0543275809543151,0,2023-01-31,2026-08-31,0.4772727272727273,0.5681818181818182,0.5681818181818182,0.0,,,,
excess_return,1,ENTG,ridge_full,44,0.1389190020867255,0.104063883782841,-0.0433508107795943,-0.0078508257918092,-0.0126129024096021,0,2023-01-31,2026-08-31,0.4772727272727273,0.4090909090909091,0.4090909090909091,0.0,,,,
excess_return,1,MTRN,ridge_full,44,0.1243730965013663,0.091095462110511,-0.0398060188160516,-0.013969980214025,0.0464640049664067,0,2023-01-31,2026-08-31,0.5681818181818182,0.4772727272727273,0.4772727272727273,0.0,,,,
return,1,ATI,business_pair_ridge,44,0.138218260729815,0.1097644271967079,-0.003615432884426,-0.0246925713348292,0.1422927988940465,0,2023-01-31,2026-08-31,0.5681818181818182,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_ridge,44,0.1407569043187504,0.1113810017883659,-0.040820642816415,-0.0485400225166733,0.219150298089904,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,44,0.1403387707760511,0.1085010958909846,-0.0346460879331504,-0.0388670953458705,0.1304355037553296,0,2023-01-31,2026-08-31,0.5909090909090909,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,CRS,business_pair_ridge,44,0.1468591671733297,0.1222788828019474,-0.0175213194061842,-0.0174554371387529,0.0210543848940399,0,2023-01-31,2026-08-31,0.5454545454545454,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,pooled_ridge,44,0.1476188998329274,0.1210130569702157,-0.0280762442546143,-0.03878792450695,0.0193105200046273,0,2023-01-31,2026-08-31,0.5681818181818182,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ridge_full,44,0.1519654719333593,0.1277257928752591,-0.0895100524548058,-0.0219386485892186,-0.0707234268941286,0,2023-01-31,2026-08-31,0.5,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,ENTG,business_pair_ridge,44,0.1565401819283104,0.1152884103749041,-0.1730957775613817,-0.0110448591257897,-0.163720527398038,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,pooled_ridge,44,0.145135987873152,0.1110789092323827,-0.0083981257098666,0.0029478817516977,0.0492461157283799,0,2023-01-31,2026-08-31,0.5227272727272727,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,ridge_full,44,0.1504783349822255,0.1189884157573613,-0.0840011863740894,-0.0093797521187694,-0.0555530275550183,0,2023-01-31,2026-08-31,0.4772727272727273,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,MTRN,business_pair_ridge,44,0.1381893291135101,0.1047624947329871,-0.0737463990448688,-0.031501594603895,0.0281884513975174,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,pooled_ridge,44,0.1395014730490331,0.10610175057489,-0.0942342155658328,-0.0305490076445862,-0.0343228181818404,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,ridge_full,44,0.138344906388682,0.1049622334325386,-0.0761654653369374,-0.0148454391420811,-0.0300447394291912,0,2023-01-31,2026-08-31,0.6136363636363636,0.5454545454545454,0.5454545454545454,0.0,,,,
variance,1,ATI,business_pair_ridge,44,0.000513831568874,0.0003202911776075,0.2828993195879792,-4.71549105516e-05,0.3664439814300953,0,2023-01-31,2026-08-31,,,,,0.2118751990480688,0.0082322991317208,0.0061693022985739,0.3221915579884141
variance,1,ATI,pooled_ridge,44,0.000500967249841,0.0003505582386999,0.3183565919624966,4.544254622101821e-05,0.4133735261129813,0,2023-01-31,2026-08-31,,,,,0.2002429225178104,0.0082301279758579,0.0066227538502721,0.404028608727739
variance,1,ATI,variance_ridge,44,0.0005265239330263,0.0003223296870685,0.247034978137383,-4.329171991887725e-05,0.2840920540283518,0,2023-01-31,2026-08-31,,,,,0.2279237017718251,0.0083809961914436,0.0062133457709956,0.2725338105393665
variance,1,CRS,business_pair_ridge,44,0.0005329936075267,0.0003485001239642,0.2959449936515507,-8.353038843291818e-05,0.2494550388519582,0,2023-01-31,2026-08-31,,,,,0.1493450776717738,0.0080054577276701,0.0059152212043765,0.2464611873142255
