task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
variance,1,ATI,arch1,44,0.0008083450625722,0.0006797304549315,-0.7747294189177889,0.0004640014594173,-0.2553935987771651,0,2023-01-31,2026-08-31,,,,,0.3878267377875711,0.0138510908031697,0.0119379403020993,-0.2701432800687058
variance,1,ATI,business_pair_ridge,44,0.0005966506082242,0.0004452699913132,0.0331062701450308,0.0001340033349489,-0.0018184770683899,0,2023-01-31,2026-08-31,,,,,0.2778434195687498,0.0101641747861345,0.0083909777298884,-0.0357346361674805
variance,1,ATI,ewma94,44,0.0007130653571137,0.0004622593591499,-0.3810113369226378,1.4767623420604542e-05,-0.035328912571645,0,2023-01-31,2026-08-31,,,,,0.3662939546307844,0.011577245048624,0.0084327277469671,-0.0424746876585768
variance,1,ATI,garch11,44,0.000715246753585,0.0005119414666673,-0.3894737903858412,0.0002655019013909,-0.1899930315975826,0,2023-01-31,2026-08-31,,,,,0.311119344897146,0.0119482798666035,0.0093057488008624,-0.2405405009255181
variance,1,ATI,garchx_business,44,0.0006064636912868,0.0004098481261157,0.0010398165122996,0.0001357781906958,0.0526086043327092,0,2023-01-31,2026-08-31,,,,,0.2629312354045469,0.0101407307448196,0.0076482604376335,0.028346330232621
variance,1,ATI,garchx_industry,44,0.0005709409441825,0.0003829825292199,0.1146378606063597,6.22501846440591e-05,0.1783192559491962,0,2023-01-31,2026-08-31,,,,,0.2391549102339417,0.0092110661481254,0.0071880381082684,0.1792054567504846
variance,1,ATI,garchx_market,44,0.0005951627287006,0.0004099508375577,0.0379225817448971,0.0001004166708476,0.0907057156874288,0,2023-01-31,2026-08-31,,,,,0.2556867845768776,0.0098694878824514,0.0076427003141598,0.0514398120208035
variance,1,ATI,historical_variance252,44,0.0005811527329695,0.0003737345344693,0.0826836432254869,4.879289582103183e-05,-0.0513320783334908,0,2023-01-31,2026-08-31,,,,,0.2698950859076769,0.0096372067342749,0.0071339375250077,-0.0538028110642936
variance,1,ATI,historical_variance63,44,0.0006067792428751,0.0003850320195674,0.0,2.850803118200911e-05,0.1248591933800731,0,2023-01-31,2026-08-31,,,,,0.2960573477040436,0.0100048382873956,0.0072914855816481,0.1074585521374331
variance,1,ATI,pooled_ridge,44,0.0005447286093463,0.0004000242371669,0.1940669999838311,0.0001228102695205,0.259303573649736,0,2023-01-31,2026-08-31,,,,,0.2397738787632803,0.0092630895551344,0.0075936945330868,0.2280302234433968
