family,ticker,contrast,expanded,reduced,status,identical_share,n,mean_loss_reduction,lo,hi,pvalue,bootstrap_se,block,replications,issuers,holm_adjusted_pvalue,family_tested,family_declared,unadjusted_decision,adjusted_decision,note
V20,MTRN,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,-0.0910434348404916,-0.3792718072109887,0.0836200813667069,0.629,0.1242371277979762,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.0492609191417735,-0.0010566318251309,0.1306216660054031,0.063,0.0346437222978159,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.0493058895917974,0.0099972530623378,0.1030141299381778,0.012,0.024007153858433,6,1999,,0.24,20.0,20.0,interval excludes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,0.0,44,0.0229189341320664,-0.0494574772871115,0.1034208989869914,0.588,0.0395272008914926,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,MTRN,pooling_persistence,pooled_variance_persistence,variance_ridge_persistence,tested,0.0,44,0.0637664897789091,-0.0325514249841952,0.2255548944782631,0.53,0.0699177398019132,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,pooling_persistence,pooled_variance_persistence,variance_ridge_persistence,tested,0.0,44,-0.0511250571022403,-0.1581549117692297,0.02915262826262,0.347,0.0493309244822496,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,pooling_persistence,pooled_variance_persistence,variance_ridge_persistence,tested,0.0,44,0.0090904656635202,-0.0012430535123214,0.0239083486202196,0.109,0.0065970052025109,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,pooling_persistence,pooled_variance_persistence,variance_ridge_persistence,tested,0.0,44,0.0069554026985318,-0.0081005927698139,0.0203159722490888,0.345,0.007233735980487,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,MTRN,pooling_external,pooled_variance_external,variance_ridge_external,tested,0.0,44,0.0596614366690616,-0.0050025159740533,0.1652383905876178,0.122,0.0456546072439979,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,pooling_external,pooled_variance_external,variance_ridge_external,tested,0.0,44,0.0022867502627184,-0.0606328512113937,0.0694587802417564,0.905,0.0332543281825522,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,pooling_external,pooled_variance_external,variance_ridge_external,tested,0.0,44,-0.0035363776582922,-0.0303048188535768,0.0190530212117935,0.816,0.0128463120179928,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,pooling_external,pooled_variance_external,variance_ridge_external,tested,0.0,44,0.0041587200692992,-0.0320403977613244,0.036026023637733,0.763,0.0176447988540192,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,MTRN,external_individual,variance_ridge_external,variance_ridge_persistence,tested,0.0,44,0.0217823424699505,-0.0180147753202618,0.0688827672469216,0.368,0.0221123820976949,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,external_individual,variance_ridge_external,variance_ridge_persistence,tested,0.0,44,-0.0375091939384621,-0.1048647656472459,0.0193180000809148,0.218,0.0314466120637257,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,external_individual,variance_ridge_external,variance_ridge_persistence,tested,0.0,44,0.016749926106943,-0.0170143995155056,0.0534452409420528,0.373,0.0181013629176747,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,external_individual,variance_ridge_external,variance_ridge_persistence,tested,0.0,44,0.0212871480602911,-0.0105469618685538,0.0589381243721243,0.192,0.0175707874492194,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,MTRN,external_pooled,pooled_variance_external,pooled_variance_persistence,tested,0.0,44,0.017677289360103,-0.007183964050594,0.0449638931850195,0.188,0.0137112712028091,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ENTG,external_pooled,pooled_variance_external,pooled_variance_persistence,tested,0.0,44,0.0159026134264966,-0.0160010038711599,0.0503454357342683,0.349,0.0166817561050417,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,CRS,external_pooled,pooled_variance_external,pooled_variance_persistence,tested,0.0,44,0.0041230827851305,-0.0157597419568962,0.0215611993090447,0.662,0.0093918603179803,6,1999,,1.0,20.0,20.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
V20,ATI,external_pooled,pooled_variance_external,pooled_variance_persistence,tested,0.0,44,0.0184904654310585,0.000908718637228,0.0370691725798393,0.036,0.0091745725013837,6,1999,,0.6839999999999999,20.0,20.0,interval excludes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
VJ5,joint,persistence_vs_naive,variance_ridge_persistence,historical_variance63,tested,,44,0.0076105770062864,-0.076275494766417,0.0744040778892701,0.72,0.0375336981299886,6,1999,4.0,1.0,5.0,5.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
VJ5,joint,pooling_persistence,pooled_variance_persistence,variance_ridge_persistence,tested,,44,0.0071718252596802,-0.0112641563657578,0.0294895272259711,0.528,0.010357996374138,6,1999,4.0,1.0,5.0,5.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
VJ5,joint,pooling_external,pooled_variance_external,variance_ridge_external,tested,,44,0.0156426323356967,-0.0020670709576065,0.0367860239054575,0.088,0.0099741570478468,6,1999,4.0,0.4399999999999999,5.0,5.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
VJ5,joint,external_individual,variance_ridge_external,variance_ridge_persistence,tested,,44,0.0055775556746806,-0.0125959795884099,0.0243204467129027,0.551,0.009502649660676,6,1999,4.0,1.0,5.0,5.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
VJ5,joint,external_pooled,pooled_variance_external,pooled_variance_persistence,tested,,44,0.0140483627506972,-0.0040707033707196,0.0322229318669768,0.129,0.009302430808174,6,1999,4.0,0.516,5.0,5.0,interval includes zero,does not survive Holm,"Declared in REVISION_SPEC.md before rescoring. Holm applies within each family to tested rows only; identical forecasts are untested contrasts, not evidence of no effect. Adjusted decisions need not match unadjusted interval exclusion."
