task,horizon,ticker,model,n,rmse,mae,r2_oos,bias,forecast_correlation,fallback_count,start,end,directional_accuracy,always_up_accuracy,benchmark_directional_accuracy,zero_forecasts,qlike,root_variance_rmse,root_variance_mae,root_variance_correlation
market_relative_return,1,ATI,ridge_full,44,0.1262206080674562,0.0942253195660284,0.0,-0.0183683512915732,-0.1613125521599046,0,2023-01-31,2026-08-31,0.5681818181818182,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,CRS,ridge_full,44,0.1398158184294076,0.1122117955808375,-0.0447479012312521,-0.02607746334292,-0.0523466061119982,0,2023-01-31,2026-08-31,0.5454545454545454,0.5681818181818182,0.5681818181818182,0.0,,,,
market_relative_return,1,ENTG,ridge_full,44,0.1392164519863848,0.1059367105122483,-0.0478235875827399,-0.0015446926884916,-0.0681564977355886,0,2023-01-31,2026-08-31,0.4545454545454545,0.4090909090909091,0.4090909090909091,0.0,,,,
market_relative_return,1,MTRN,ridge_full,44,0.1244005161004386,0.0944506805887679,-0.0402645457444736,-0.0093170376960757,-0.1009173406918124,0,2023-01-31,2026-08-31,0.4318181818181818,0.4772727272727273,0.4772727272727273,0.0,,,,
return,1,ATI,business_pair_ridge,44,0.1370092631796337,0.1057376101941707,0.0138650637604339,-0.0313550438097385,0.1737871820039615,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,pooled_ridge,44,0.1373317627499045,0.1065632544467226,0.0092171679706536,-0.0311879149117253,0.1571542624246982,0,2023-01-31,2026-08-31,0.6136363636363636,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,ATI,ridge_full,44,0.136967956757054,0.1049856312262467,0.0144595865704026,-0.0230232843978782,0.0776953710683652,0,2023-01-31,2026-08-31,0.6590909090909091,0.6590909090909091,0.6590909090909091,0.0,,,,
return,1,CRS,business_pair_ridge,44,0.1469152481752802,0.1193367357950112,-0.0182985880182451,-0.0341375302471082,0.0001206644556891,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,pooled_ridge,44,0.1463391994426515,0.1182085126961147,-0.0103288282922338,-0.038655340175918,-0.0091989410409598,0,2023-01-31,2026-08-31,0.6136363636363636,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,CRS,ridge_full,44,0.1482180679243712,0.1214155122755577,-0.0364388671842215,-0.0268917530530773,-0.1274966308230051,0,2023-01-31,2026-08-31,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.0,,,,
return,1,ENTG,business_pair_ridge,44,0.1448203281211426,0.1112637974561651,-0.0040165170386428,-0.0038706398759882,-0.1496132519507517,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,pooled_ridge,44,0.146014119057953,0.1096386246914577,-0.0206374701674045,0.002980519438712,-0.0496404218304709,0,2023-01-31,2026-08-31,0.4545454545454545,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,ENTG,ridge_full,44,0.1494642378469233,0.1180197065856033,-0.0694399091086777,-0.0038611495825049,-0.1674578864860152,0,2023-01-31,2026-08-31,0.4318181818181818,0.4545454545454545,0.4545454545454545,0.0,,,,
return,1,MTRN,business_pair_ridge,44,0.1345418848921767,0.1072437613271706,-0.0178123565048973,-0.0104984704600403,-0.3941585250815082,0,2023-01-31,2026-08-31,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,pooled_ridge,44,0.1369404664545326,0.1069311119746589,-0.054426493028481,-0.0109557958416491,-0.2050833840402864,0,2023-01-31,2026-08-31,0.5,0.5454545454545454,0.5454545454545454,0.0,,,,
return,1,MTRN,ridge_full,44,0.1347730803973834,0.1069433007137458,-0.0213133602633504,-0.0139332812059849,-0.1630181646552062,0,2023-01-31,2026-08-31,0.5681818181818182,0.5454545454545454,0.5454545454545454,0.0,,,,
variance,1,ATI,business_pair_ridge,44,0.0005966506082242,0.0004452699913132,0.0331062701450308,0.0001340033349489,-0.0018184770683899,0,2023-01-31,2026-08-31,,,,,0.2778434195687498,0.0101641747861345,0.0083909777298884,-0.0357346361674805
variance,1,ATI,pooled_ridge,44,0.0005447286093463,0.0004000242371669,0.1940669999838311,0.0001228102695205,0.259303573649736,0,2023-01-31,2026-08-31,,,,,0.2397738787632803,0.0092630895551344,0.0075936945330868,0.2280302234433968
variance,1,ATI,variance_ridge,44,0.000547930467416,0.0003774376702025,0.1845647746893293,3.859788390171136e-05,0.1550689260578215,0,2023-01-31,2026-08-31,,,,,0.2593118527819437,0.0090948870982496,0.0072399229437028,0.1287402652569325
variance,1,CRS,business_pair_ridge,44,0.0005677737244037,0.0004013057564467,0.2010618293589282,4.619352083442953e-05,0.0107570044614835,0,2023-01-31,2026-08-31,,,,,0.1706684897175179,0.0087752999436997,0.0068264546619543,-0.0157887615152686
variance,1,CRS,pooled_ridge,44,0.0005489450977822,0.0003835143931451,0.2531723089098745,-1.59668277921591e-06,0.1028180955652791,0,2023-01-31,2026-08-31,,,,,0.1585365628133726,0.0083525190043901,0.0065217255595615,0.0776127254993904
variance,1,CRS,variance_ridge,44,0.000555587956107,0.0003868738138981,0.2349880210622915,2.2873320998075007e-05,-0.023896613174667,0,2023-01-31,2026-08-31,,,,,0.1681093717384605,0.0085077385209643,0.0066183629473425,-0.0385819389305878
variance,1,ENTG,business_pair_ridge,44,0.0011190881262222,0.0005437701366024,0.1485073101252735,-0.0002927709266939,0.3392891129795635,0,2023-01-31,2026-08-31,,,,,0.2264612329647304,0.0115613194986323,0.007010539825287,0.4641996211733865
variance,1,ENTG,pooled_ridge,44,0.0011004396852748,0.0005996790288865,0.1766493432031659,-0.0001946026120269,0.3319869681424384,0,2023-01-31,2026-08-31,,,,,0.2078251010640311,0.0115278663483628,0.0079110992985006,0.426436499066277
variance,1,ENTG,variance_ridge,44,0.0011198947703665,0.0005391497039998,0.1472793476098095,-0.0002938081199423,0.3403535678563352,0,2023-01-31,2026-08-31,,,,,0.236802714802264,0.0116293631223484,0.0070272468809695,0.4536458245799018
variance,1,MTRN,business_pair_ridge,44,0.0009227511598675,0.0004854845728853,-0.016692478005073,-0.0002116525059529,0.5786017325629311,0,2023-01-31,2026-08-31,,,,,0.293794537176736,0.010954659690092,0.0077620120866628,0.4773930181758912
variance,1,MTRN,pooled_ridge,44,0.0009744248224345,0.0005536902465193,-0.1337494467960125,-0.0001182800445557,0.2740689663601772,0,2023-01-31,2026-08-31,,,,,0.3367233329113844,0.0119731795435077,0.0090684758523764,0.1716938165951393
variance,1,MTRN,variance_ridge,44,0.0010220802278528,0.0005039648416475,-0.2473558977048022,-0.0002714145512907,0.2092009901431097,0,2023-01-31,2026-08-31,,,,,0.387537523203173,0.0120798595833519,0.0080992017915206,0.2295560128012214
