panel,first,second,correlation
"Four established issuers, 2016–Sep 2026",MTRN,MTRN,1.0
"Four established issuers, 2016–Sep 2026",MTRN,ENTG,0.4721245945669438
"Four established issuers, 2016–Sep 2026",MTRN,CRS,0.5009587969201826
"Four established issuers, 2016–Sep 2026",MTRN,ATI,0.4615959476894236
"Four established issuers, 2016–Sep 2026",ENTG,MTRN,0.4721245945669438
"Four established issuers, 2016–Sep 2026",ENTG,ENTG,1.0
"Four established issuers, 2016–Sep 2026",ENTG,CRS,0.4078160049006731
"Four established issuers, 2016–Sep 2026",ENTG,ATI,0.3691139090640916
"Four established issuers, 2016–Sep 2026",CRS,MTRN,0.5009587969201826
"Four established issuers, 2016–Sep 2026",CRS,ENTG,0.4078160049006731
"Four established issuers, 2016–Sep 2026",CRS,CRS,1.0
"Four established issuers, 2016–Sep 2026",CRS,ATI,0.6966177486032715
"Four established issuers, 2016–Sep 2026",ATI,MTRN,0.4615959476894236
"Four established issuers, 2016–Sep 2026",ATI,ENTG,0.3691139090640916
"Four established issuers, 2016–Sep 2026",ATI,CRS,0.6966177486032715
"Four established issuers, 2016–Sep 2026",ATI,ATI,1.0
"Five public equities, Apr–Sep 2026",MTRN,MTRN,1.0
"Five public equities, Apr–Sep 2026",MTRN,ENTG,0.5577779274907735
"Five public equities, Apr–Sep 2026",MTRN,CRS,0.4415749802310733
"Five public equities, Apr–Sep 2026",MTRN,ATI,0.485368637139279
"Five public equities, Apr–Sep 2026",MTRN,ELMT,0.2366692092840784
"Five public equities, Apr–Sep 2026",ENTG,MTRN,0.5577779274907735
"Five public equities, Apr–Sep 2026",ENTG,ENTG,1.0
"Five public equities, Apr–Sep 2026",ENTG,CRS,0.4878607922537658
"Five public equities, Apr–Sep 2026",ENTG,ATI,0.5146062510185462
"Five public equities, Apr–Sep 2026",ENTG,ELMT,0.3645982042758764
"Five public equities, Apr–Sep 2026",CRS,MTRN,0.4415749802310733
"Five public equities, Apr–Sep 2026",CRS,ENTG,0.4878607922537658
"Five public equities, Apr–Sep 2026",CRS,CRS,1.0
"Five public equities, Apr–Sep 2026",CRS,ATI,0.725284397177149
"Five public equities, Apr–Sep 2026",CRS,ELMT,0.2462992289319076
"Five public equities, Apr–Sep 2026",ATI,MTRN,0.485368637139279
"Five public equities, Apr–Sep 2026",ATI,ENTG,0.5146062510185462
"Five public equities, Apr–Sep 2026",ATI,CRS,0.725284397177149
"Five public equities, Apr–Sep 2026",ATI,ATI,1.0
"Five public equities, Apr–Sep 2026",ATI,ELMT,0.2141674119512642
"Five public equities, Apr–Sep 2026",ELMT,MTRN,0.2366692092840784
"Five public equities, Apr–Sep 2026",ELMT,ENTG,0.3645982042758764
"Five public equities, Apr–Sep 2026",ELMT,CRS,0.2462992289319076
"Five public equities, Apr–Sep 2026",ELMT,ATI,0.2141674119512642
"Five public equities, Apr–Sep 2026",ELMT,ELMT,1.0
