ticker,vintage,revenue,operating_income,net_income,cfo,equipment_capex,da,period_end,mine_capex,total_capex,fcf,operating_ebitda,operating_margin,fcf_net_income
MTRN,latest eligible filing at cutoff; recasts retained,1025.272,45.268,32.158,91.01,29.505,38.471,2015-12-31,22.585,52.09,38.92,83.739,0.044152185956507155,1.2102742707879843
MTRN,latest eligible filing at cutoff; recasts retained,969.236,28.88,25.74,68.18,27.177,45.651,2016-12-31,9.861,37.038,31.14200000000001,74.531,0.0297966645894292,1.2098679098679104
MTRN,latest eligible filing at cutoff; recasts retained,1139.447,40.031,11.451,67.795,27.516,42.751,2017-12-31,1.56,29.075999999999997,38.71900000000001,82.782,0.035131954360316894,3.3812767443891367
MTRN,latest eligible filing at cutoff; recasts retained,1207.815,61.752,21.044,76.374,27.702,35.524,2018-12-31,6.558,34.260000000000005,42.11399999999999,97.27600000000001,0.051127035183368315,2.001235506557688
MTRN,latest eligible filing at cutoff; recasts retained,1185.424,70.546,53.394,99.222,24.251,41.116,2019-12-31,2.277,26.528000000000002,72.69399999999999,111.662,0.05951119599400721,1.361463834887815
MTRN,latest eligible filing at cutoff; recasts retained,1176.274,8.215,15.462,101.057,67.274,42.384,2020-12-31,,,,50.599000000000004,0.006983917012532795,
MTRN,latest eligible filing at cutoff; recasts retained,1510.644,77.111,72.474,90.241,102.91,44.137,2021-12-31,0.0,102.91,-12.668999999999997,121.248,0.051045117181811206,-0.17480751717857435
MTRN,latest eligible filing at cutoff; recasts retained,1757.109,119.755,85.99,115.958,77.608,53.436,2022-12-31,0.0,77.608,38.349999999999994,173.191,0.06815456525463133,0.44598209094080704
MTRN,latest eligible filing at cutoff; recasts retained,1665.187,136.444,95.702,144.414,110.55,61.644,2023-12-31,9.326,119.876,24.537999999999982,198.088,0.08193914557344009,0.25640007523353725
MTRN,latest eligible filing at cutoff; recasts retained,1684.739,47.223,5.888,87.817,68.649,68.676,2024-12-31,12.159,80.808,7.008999999999986,115.899,0.02802986100517647,1.1903872282608672
MTRN,latest eligible filing at cutoff; recasts retained,1786.55,109.796,74.823,103.243,53.279,69.074,2025-12-31,26.288,79.56700000000001,23.675999999999988,178.87,0.061456998124877565,0.3164267671705223
ENTG,latest eligible filing at cutoff; recasts retained,1081.121,118.068,80.296,120.918,71.977,101.654,2015-12-31,0.0,71.977,48.941,219.72199999999998,0.10920886746256893,0.6095073229052506
ENTG,latest eligible filing at cutoff; recasts retained,1175.27,155.536,97.147,207.555,65.26,99.886,2016-12-31,0.0,65.26,142.29500000000002,255.422,0.1323406536370366,1.46473900377778
ENTG,latest eligible filing at cutoff; recasts retained,1342.532,241.817,85.066,293.373,93.597,102.231,2017-12-31,0.0,93.597,199.776,344.048,0.18012010142030135,2.3484823548773894
ENTG,latest eligible filing at cutoff; recasts retained,1550.497,292.689,240.755,312.576,110.153,127.268,2018-12-31,0.0,110.153,202.423,419.957,0.18877108436843154,0.8407841997050944
ENTG,latest eligible filing at cutoff; recasts retained,1591.066,239.278,254.86,382.298,112.355,141.403,2019-12-31,0.0,112.355,269.943,380.681,0.15038848168460642,1.0591815114180334
ENTG,latest eligible filing at cutoff; recasts retained,1859.313,395.445,294.969,446.674,131.752,136.522,2020-12-31,0.0,131.752,314.92199999999997,531.967,0.21268339435049397,1.0676443965298048
ENTG,latest eligible filing at cutoff; recasts retained,2298.893,551.768,409.126,400.454,210.626,138.167,2021-12-31,0.0,210.626,189.828,689.9350000000001,0.24001465052962448,0.46398420046636
ENTG,latest eligible filing at cutoff; recasts retained,3282.033,479.981,208.92,363.129,466.192,279.324,2022-12-31,0.0,466.192,-103.06299999999999,759.3050000000001,0.14624502556799399,-0.49331322994447635
ENTG,latest eligible filing at cutoff; recasts retained,3523.9,499.2,180.7,644.5,456.8,387.2,2023-12-31,0.0,456.8,187.7,886.4,0.14166122761712874,1.038738240177089
ENTG,latest eligible filing at cutoff; recasts retained,3241.2,533.9,292.8,631.7,315.6,378.2,2024-12-31,0.0,315.6,316.1,912.0999999999999,0.1647229421202024,1.0795765027322404
ENTG,latest eligible filing at cutoff; recasts retained,3196.6,455.9,235.6,695.4,299.2,389.70000000000005,2025-12-31,0.0,299.2,396.2,845.6,0.14262028405180505,1.6816638370118846
CRS,latest eligible filing at cutoff; recasts retained,2226.7,111.5,58.7,282.6,170.5,122.3,2015-06-30,0.0,170.5,112.10000000000002,233.8,0.050074100687115465,1.9097103918228282
CRS,latest eligible filing at cutoff; recasts retained,1813.4,51.6,11.3,257.4,95.2,119.3,2016-06-30,0.0,95.2,162.2,170.9,0.028454836219256645,14.353982300884955
CRS,latest eligible filing at cutoff; recasts retained,1797.6,121.5,47.0,130.3,98.5,117.8,2017-06-30,0.0,98.5,31.80000000000001,239.3,0.06759012016021362,0.6765957446808513
CRS,latest eligible filing at cutoff; recasts retained,2157.7,189.3,188.5,209.2,135.0,116.6,2018-06-30,0.0,135.0,74.19999999999999,305.9,0.08773230754970572,0.3936339522546419
CRS,latest eligible filing at cutoff; recasts retained,2380.2,241.4,167.0,232.4,180.3,121.5,2019-06-30,0.0,180.3,52.099999999999994,362.9,0.10142004873540039,0.3119760479041916
CRS,latest eligible filing at cutoff; recasts retained,2181.1,25.3,1.5,231.8,171.4,123.9,2020-06-30,0.0,171.4,60.400000000000006,149.20000000000002,0.01159965155196919,40.26666666666667
CRS,latest eligible filing at cutoff; recasts retained,1475.6,-248.6,-229.6,250.0,100.5,123.6,2021-06-30,0.0,100.5,149.5,-125.0,-0.16847384114936298,
CRS,latest eligible filing at cutoff; recasts retained,1836.3,-24.9,-49.1,6.0,91.3,131.4,2022-06-30,0.0,91.3,-85.3,106.5,-0.01355987583728149,
CRS,latest eligible filing at cutoff; recasts retained,2550.3,133.1,56.4,14.7,82.3,131.0,2023-06-30,0.0,82.3,-67.6,264.1,0.05218993843861506,-1.1985815602836878
CRS,latest eligible filing at cutoff; recasts retained,2759.7,323.1,186.5,274.9,96.6,134.6,2024-06-30,0.0,96.6,178.29999999999998,457.70000000000005,0.11707794325470161,0.9560321715817693
CRS,latest eligible filing at cutoff; recasts retained,2877.1,521.8,376.0,440.4,154.3,139.2,2025-06-30,0.0,154.3,286.09999999999997,661.0,0.1813631782002711,0.7609042553191488
CRS,latest eligible filing at cutoff; recasts retained,3124.2,702.0,529.8,605.0,242.7,147.1,2026-06-30,0.0,242.7,362.3,849.1,0.22469752256577685,0.683842959607399
ATI,latest eligible filing at cutoff; recasts retained,3719.6,-369.4,-377.9,131.4,144.5,189.9,2015-12-31,0.0,144.5,-13.099999999999994,-179.49999999999997,-0.09931175395203785,
ATI,latest eligible filing at cutoff; recasts retained,3134.6,-541.8,-640.9,-43.7,202.2,170.3,2016-12-31,0.0,202.2,-245.89999999999998,-371.49999999999994,-0.17284502009825814,
ATI,latest eligible filing at cutoff; recasts retained,3525.1,134.6,-91.9,22.4,122.7,160.8,2017-12-31,0.0,122.7,-100.30000000000001,295.4,0.038183313948540465,
ATI,latest eligible filing at cutoff; recasts retained,4046.6,362.1,222.4,392.8,139.2,156.4,2018-12-31,0.0,139.2,253.60000000000002,518.5,0.08948252854248011,1.1402877697841727
ATI,latest eligible filing at cutoff; recasts retained,4122.5,366.3,252.5,230.1,168.2,151.1,2019-12-31,0.0,168.2,61.900000000000006,517.4,0.08885385081867798,0.24514851485148517
ATI,latest eligible filing at cutoff; recasts retained,2982.1,-1302.7,-1572.6,166.9,136.5,143.3,2020-12-31,0.0,136.5,30.400000000000006,-1159.4,-0.4368398108715335,
ATI,latest eligible filing at cutoff; recasts retained,2799.8,117.6,-38.2,16.1,152.6,143.9,2021-12-31,0.0,152.6,-136.5,261.5,0.04200300021430102,
ATI,latest eligible filing at cutoff; recasts retained,2799.8,117.6,184.6,16.1,152.6,143.9,2022-01-02,0.0,152.6,-136.5,261.5,0.04200300021430102,-0.7394366197183099
