factor,beta,se,lo,hi,p_value,mean_factor,mean_contribution,panel,ticker,model
const,0.00754418009456982,0.007720417185626897,-0.007587559534882982,0.022675919724022622,0.32848371301902834,1.0,0.00754418009456982,long,MTRN,M0
MKT,1.244577238745251,0.249395949170836,0.7557701604802305,1.7333843170102714,6.026477802824841e-07,0.01081732283464567,0.013462993784159258,long,MTRN,M0
const,0.007936508914450512,0.0076478601088388965,-0.0070530214576743026,0.022926039286575328,0.299389986687819,1.0,0.007936508914450512,long,ENTG,M0
MKT,1.3386071154664707,0.12547660339292077,1.0926774919139297,1.5845367390190117,1.4340623180678935e-26,0.01081732283464567,0.014480145316754626,long,ENTG,M0
const,0.014203838146551379,0.011256760679663962,-0.007859007368176605,0.03626668366127936,0.20701892302263492,1.0,0.014203838146551379,long,CRS,M0
MKT,1.6825855218121788,0.24291952170430609,1.2064720081300429,2.1586990354943145,4.313365394011197e-12,0.01081732283464567,0.01820107078634308,long,CRS,M0
const,0.01653628061228973,0.012420206306563663,-0.0078068764291322965,0.040879437653711756,0.18305695451750892,1.0,0.01653628061228973,long,ATI,M0
MKT,1.4601888907501854,0.2832824987457426,0.9049653957580169,2.015412385742354,2.542642495704533e-07,0.01081732283464567,0.01579533463080791,long,ATI,M0
const,0.009895344434371584,0.007021069422701494,-0.0038656987670787728,0.02365638763582194,0.15872327196770752,1.0,0.009895344434371584,long,MTRN,M1
MKT,1.1351612585539659,0.2197003008421086,0.7045565815108181,1.5657659355971136,2.3805618277331103e-07,0.01081732283464567,0.012279405803160932,long,MTRN,M1
SMB,1.6425934154339863,0.3131753874096496,1.0287809352666943,2.2564058956012785,1.5631343334736267e-07,-0.0014102362204724413,-0.0023164447299545434,long,MTRN,M1
HML,0.616373912444294,0.1771094798469613,0.2692457106236273,0.9635021142649607,0.0005010659969084568,0.0005496062992125979,0.00033876298494969824,long,MTRN,M1
MOM,0.703716717151866,0.3141890489198113,0.08791749693214268,1.3195159373715892,0.025104719133953315,0.0011511811023622047,0.0008101053862015969,long,MTRN,M1
const,0.010361832474251056,0.008044494680071599,-0.0054050873725133425,0.026128752321015455,0.19772331879553262,1.0,0.010361832474251056,long,ENTG,M1
MKT,1.2212230940654676,0.17193094024522632,0.8842446433567159,1.5582015447742192,1.2208960980654327e-12,0.01081732283464567,0.013210364461631019,long,ENTG,M1
SMB,0.9855358777686045,0.4320609388957342,0.13871199840640447,1.8323597571308046,0.022547779061070663,-0.0014102362204724413,-0.0013898383914043868,long,ENTG,M1
HML,-0.11662153385185424,0.3035797772345584,-0.7116269636662814,0.4783838959625729,0.7008639484425303,0.0005496062992125979,-6.40959296288143e-05,long,ENTG,M1
MOM,0.2592047556584849,0.42481185044408676,-0.5734111714177409,1.0918206827347108,0.5417533963895107,0.0011511811023622047,0.00029839161635646056,long,ENTG,M1
const,0.01898237619662844,0.009828004681275862,-0.0002801590185632988,0.03824491141182018,0.05342646449523418,1.0,0.01898237619662844,long,CRS,M1
MKT,1.3961897106713272,0.18173629612395156,1.039993115584676,1.7523863057579785,1.5600941607319438e-14,0.01081732283464567,0.015103034838742278,long,CRS,M1
SMB,1.498420207142924,0.3704536827913725,0.7723443309316084,2.2244960833542398,5.236228948301854e-05,-0.0014102362204724413,-0.0021131264496007697,long,CRS,M1
HML,0.9232373364415414,0.2874045010281415,0.3599348654316791,1.4865398074514036,0.0013166426324640833,0.0005496062992125979,0.0005074170557765316,long,CRS,M1
MOM,-0.06497041038828455,0.3105675204354726,-0.673671565209718,0.543730744433149,0.8342929038953794,0.0011511811023622047,-7.479270865171024e-05,long,CRS,M1
const,0.022924727563557883,0.01015843659971336,0.003014557688886168,0.0428348974382296,0.0240256962214311,1.0,0.022924727563557883,long,ATI,M1
MKT,1.0714573190753702,0.24544603346929245,0.5903919333273444,1.552522704823396,1.2692061010372054e-05,0.01081732283464567,0.011590299723982234,long,ATI,M1
SMB,1.4908970315015775,0.3287882796790364,0.8464838447917836,2.1353102182113712,5.7734630147861225e-06,-0.0014102362204724413,-0.002102516994818367,long,ATI,M1
HML,0.7706458391354776,0.31842519678216735,0.14654392167235009,1.394747756598605,0.015512886892303037,0.0005496062992125979,0.0004235518076508368,long,ATI,M1
MOM,-0.4381993903822162,0.2630102129563012,-0.9536899353427766,0.07729115457834412,0.09569495642589758,0.0011511811023622047,-0.0005044468572746458,long,ATI,M1
const,0.0063805008082551745,0.006457967553103334,-0.00627688300915562,0.01903788462566597,0.32315045912719553,1.0,0.0063805008082551745,long,MTRN,M2
MKT,0.37293078431467785,0.5179591457796249,-0.6422504868765184,1.3881120555058741,0.4715247585854846,0.01081732283464567,0.004034112688909484,long,MTRN,M2
SMB,1.5146537860219165,0.2790350531502162,0.967755131423273,2.06155244062056,5.6930132472137544e-08,-0.0014102362204724413,-0.0021360196305238214,long,MTRN,M2
HML,0.556943086344047,0.18553056454316863,0.19330986180805254,0.9205763108800414,0.0026830559388311462,0.0005496062992125979,0.00030609942855759403,long,MTRN,M2
MOM,0.6105241464340386,0.2131531677378977,0.19275161447713418,1.028296678390943,0.004179968150218273,0.0011511811023622047,0.0007028238599106806,long,MTRN,M2
SEMIS,0.3243988129730214,0.20885841764085467,-0.08495616347107882,0.7337537894171217,0.12037545431728607,0.025186599892987525,0.008170503108111581,long,MTRN,M2
DEFENSE,0.29624957511896066,0.21080507153756425,-0.11692077285305491,0.7094199230909762,0.15992474504493792,0.011980282550897711,0.003549153615508545,long,MTRN,M2
const,0.0006029680052642445,0.005174271381238432,-0.009538417548199401,0.01074435355872789,0.9072309552104709,1.0,0.0006029680052642445,long,ENTG,M2
MKT,-0.39290161486579334,0.40864996355382377,-1.1938408257148936,0.4080375959833069,0.3363196728527681,0.01081732283464567,-0.0042501436102569045,long,ENTG,M2
SMB,0.6859374344188096,0.3032862473312194,0.09150731264331247,1.2803675561943066,0.023716978533216946,-0.0014102362204724413,-0.0009673338149953452,long,ENTG,M2
HML,0.02377309015717685,0.2007905688442521,-0.3697691932128675,0.41731537352722126,0.9057527508224881,0.0005496062992125979,1.3065840102133405e-05,long,ENTG,M2
