n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,ticker,panel,period,market_beta
2693,2,2016-01-04,2026-09-18,0.001193180772923005,0.000445077848076005,-0.00038327640988605776,0.0012734321060380678,0.2922969976570532,0.25977308234899255,0.25949800731456263,0.0007073417478488508,0.00018374834611281974,0.000523593401736031,0.7402269176510076,0.022882163397197192,0.0005237879737916742,1.0000000000000002,5.565544312083035e-19,4.336808689942018e-19,1.0842021724855044e-19,MTRN,long,full market-only,
1346,4,2016-01-04,2021-05-07,0.0010888659220040944,0.00024163330325965504,-0.0007878839842670354,0.0012711505907863454,0.6455060277383453,0.34118494584039916,0.339712184914558,0.0006301639067972472,0.00021500243841119287,0.00041516146838605416,0.658815054159601,0.020375511487716182,0.00041608954916486047,4.71661441631358,8.248313704495962e-20,2.168404344971009e-19,1.6263032587282567e-19,MTRN,long,first half,0.29996409625669146
1347,4,2021-05-10,2026-09-18,0.0012974181814878556,0.0004248715880862051,-0.0008061415549238702,0.0016558847310962806,0.4987476750096298,0.271574410969291,0.26994725030876077,0.0007849660090676773,0.00021317668154346967,0.0005717893275242077,0.728425589030709,0.023912116751224843,0.000573066593334016,3.7609659766245698,-1.8544928028259854e-19,0.0,1.0842021724855044e-19,MTRN,long,second half,0.33164727766880764
2693,2,2016-01-04,2026-09-18,0.001327595988804618,0.0002546889753462567,-0.0005842369906625649,0.0010936149413550782,0.5518273209461226,0.4392931506800587,0.4390847869307759,0.000860340702767226,0.00037794177797691007,0.00048239892479031544,0.5607068493199413,0.021963581784178905,0.00048257818860480457,1.0000000000000002,1.4841451498888094e-18,1.5178830414797062e-18,5.421010862427522e-19,ENTG,long,full market-only,
1346,4,2016-01-04,2021-05-07,0.0019064333864028617,0.0005312478053912783,-0.0002566126809687392,0.0013191082917512957,0.18630555019794603,0.6378310021335373,0.6370213844035824,0.0005691552534843157,0.0003630248656994682,0.00020613038778484718,0.3621689978664627,0.014357241649594368,0.000206591185969165,4.71661441631358,8.248313704495962e-20,0.0,2.981555974335137e-19,ENTG,long,first half,0.029737891626085155
1347,4,2021-05-10,2026-09-18,0.0007491883145898918,-0.0007992479280746302,-0.0018393307920168051,0.0002408349358675447,0.13203450799343747,0.6787625759293329,0.678044994192764,0.001151279144695473,0.0007814451978672183,0.0003698339468282546,0.32123742407066713,0.019231067230610334,0.0003706600837161807,3.7609659766245698,1.730859949304253e-18,1.5178830414797062e-18,5.421010862427522e-20,ENTG,long,second half,0.19325470274914078
2693,2,2016-01-04,2026-09-18,0.001505705373391662,0.0005345038842394918,-0.0003949492011121237,0.0014639569695911073,0.25969029243385444,0.32731192560503897,0.3270619486171553,0.0009461447492329593,0.000309684459772536,0.0006364602894604228,0.6726880743949611,0.025228164607446632,0.0006366968038749379,1.0000000000000002,5.771675582900925e-19,4.336808689942018e-19,5.421010862427522e-19,CRS,long,full market-only,
1346,4,2016-01-04,2021-05-07,0.0008380733040026559,-0.0003031142192565508,-0.001441501992060245,0.0008352735535471433,0.6017593023215023,0.47376963306809894,0.4725932611599054,0.001031975935789442,0.0004889188604340717,0.00054305707535537,0.5262303669319011,0.023303585032251366,0.0005442710628561644,4.71661441631358,9.485560760170356e-19,9.75781955236954e-19,2.168404344971009e-19,CRS,long,first half,0.3430752534124834
1347,4,2021-05-10,2026-09-18,0.002172841799076593,0.0011619538809397917,-7.816601309784351e-05,0.002402073774977427,0.06629475560940866,0.37393125692295703,0.3725327414879376,0.0008601891267417779,0.00032165160135401395,0.0005385375253877643,0.6260687430770432,0.023206411299202732,0.0005397405131585485,3.7609659766245698,-1.1951175840434128e-18,8.673617379884035e-19,3.2526065174565133e-19,CRS,long,second half,0.2642072272488409
2693,2,2016-01-04,2026-09-18,0.0016093179956330943,0.0006702407282135776,-0.00039194481121841,0.001732426267645565,0.21618350315707235,0.26099686107101094,0.2607222408038504,0.00110934876499857,0.000289536545497629,0.0008198122195009406,0.7390031389289891,0.028632363149082553,0.0008201168691551587,1.0000000000000002,8.657513374351388e-19,6.505213034913027e-19,3.2526065174565133e-19,ATI,long,full market-only,
1346,4,2016-01-04,2021-05-07,0.0013144573409663923,0.00023688352420744233,-0.001288827096691314,0.0017625941451061985,0.7608946347578699,0.3695982907365183,0.36818904697512456,0.0014846286884744758,0.0005487162256385653,0.0009359124628359107,0.6304017092634817,0.030592686427247783,0.0009380046665531295,4.71661441631358,-6.804858806209169e-19,1.0842021724855044e-18,2.168404344971009e-19,ATI,long,first half,0.2042657496560828
1347,4,2021-05-10,2026-09-18,0.0019039597485517143,0.0009550374726358715,-0.00018281434242259375,0.002092889287694337,0.09995661504522846,0.3771603251093897,0.3757690227827539,0.000734998013538912,0.00027721208974109155,0.00045778592379782046,0.6228396748906104,0.0213959324124428,0.0004588085282441297,3.7609659766245698,8.242190234782157e-20,4.336808689942018e-19,0.0,ATI,long,second half,0.03195218771026862
1434,2,2021-01-04,2026-09-18,0.0013569454094073752,0.000594574032601343,-0.0006397397833733722,0.0018288878485760583,0.34510695160924165,0.22771514564916961,0.2271758405832821,0.0007701193870841801,0.00017536784839712345,0.0005947515386870566,0.77228485435083,0.024387528343131792,0.0005951668679738494,1.0000000000000002,-3.774293755263346e-19,4.336808689942018e-19,1.0842021724855044e-19,MTRN,recent,full market-only,
717,4,2021-01-04,2023-11-07,0.0010733773107936815,0.0006475506357538852,-0.0009210846668169917,0.002216185938324762,0.41846015789655244,0.2761878738870782,0.27314238107033373,0.00064543591292347,0.00017826157252069866,0.0004671743404027713,0.7238121261129216,0.021614216164431484,0.0004691400108392487,4.223356443596156,2.129088785020349e-19,4.336808689942018e-19,0.0,MTRN,recent,first half,0.6064078883123041
717,4,2023-11-08,2026-09-18,0.0016405135080210691,0.00017675975165716638,-0.0016043866650733737,0.0019579061683877067,0.8457801015447971,0.2753150677575902,0.272265902544789,0.0008957174006365792,0.00024660449684791257,0.0006491129037886667,0.7246849322424096,0.0254776942400341,0.0006518440941271886,3.4728886930857383,-5.419498725506343e-19,4.336808689942018e-19,1.0842021724855044e-19,MTRN,recent,second half,0.2619954578567342
1434,2,2021-01-04,2026-09-18,0.000854727824063943,-0.0004566574512021332,-0.001752344497502586,0.0008390295950983196,0.4897050382206294,0.45729907325620944,0.4569200921621146,0.001134689649972665,0.0005188925253659125,0.0006157971246067526,0.5427009267437906,0.024815259914148645,0.0006162271505317573,1.0000000000000002,1.2387425658300212e-18,1.5178830414797062e-18,1.0842021724855044e-19,ENTG,recent,full market-only,
717,4,2021-01-04,2023-11-07,0.00043064864270837204,-0.000278409376554798,-0.0014910509334581559,0.0009342321803485598,0.6527201623106463,0.6827436807572548,0.6814088014336528,0.0009696687210284223,0.0006620351917101243,0.00030763352931829766,0.3172563192427453,0.017539484864678826,0.00030892792004474207,4.223356443596156,2.7097493627531713e-19,4.336808689942018e-19,3.7947076036992655e-19,ENTG,recent,first half,0.09388602867100815
