n,parameters,start,end,mean_excess,alpha,alpha_lo,alpha_hi,alpha_p,r2,adjusted_r2,total_variance,fitted_variance,residual_variance,residual_share,residual_volatility,residual_mse,condition_scaled,mean_residual,mean_identity_error,variance_identity_error,panel,ticker,model,basis
2693,4,2016-01-04,2026-09-18,0.0011931807729230056,0.00031582375285070746,-0.0004882844310518852,0.0011199319367533002,0.4414180224557952,0.3015282068582785,0.30074895234752164,0.0007073417478488525,0.00021328348886486556,0.0004940582589839873,0.6984717931417213,0.022227421330059574,0.0004946094582316452,4.152042875198887,6.390069395354596e-19,8.673617379884035e-19,3.2526065174565133e-19,long,MTRN,daily raw-return market + industries,total returns; intercept is not excess-return alpha
2693,4,2016-01-04,2026-09-18,0.0013275959888046215,-0.00016334186345149716,-0.0008178364918614155,0.0004911527649584212,0.6247375363159018,0.6601549866765624,0.6597758364199724,0.0008603407027672281,0.0005679582051726045,0.0002923824975946242,0.3398450133234375,0.017099195817190473,0.0002927086959928332,4.152042875198887,1.195561370743763e-18,1.3010426069826053e-18,5.963111948670274e-19,long,ENTG,daily raw-return market + industries,total returns; intercept is not excess-return alpha
2693,4,2016-01-04,2026-09-18,0.0015057053733916633,0.0004428597299732039,-0.0004041958179797646,0.0012899152779261723,0.3054984660528638,0.42761154899608467,0.42697296017012265,0.0009461447492329613,0.0004045824217940191,0.0005415623274389425,0.5723884510039152,0.023271491732137467,0.0005421665249035454,4.152042875198887,6.183938124536706e-19,6.505213034913027e-19,3.2526065174565133e-19,long,CRS,daily raw-return market + industries,total returns; intercept is not excess-return alpha
2693,4,2016-01-04,2026-09-18,0.001609317995633094,0.0005757520912407088,-0.00037920850999791057,0.0015307126924793283,0.23733455933644898,0.3692371598470716,0.3685334452615533,0.0011093487649985719,0.00040961278726793005,0.0006997359777306426,0.6307628401529283,0.02645252308817899,0.0007005166426369989,4.152042875198887,9.688169728440839e-19,8.673617379884035e-19,7.589415207398531e-19,long,ATI,daily raw-return market + industries,total returns; intercept is not excess-return alpha
1434,4,2021-01-04,2026-09-18,0.0013569454094073759,0.00044634900781145024,-0.0007475420584245741,0.0016402400740474746,0.46370872443480293,0.2697651667334746,0.26823320554480357,0.000770119387084182,0.00020775138486144555,0.0005623680022227363,0.7302348332665253,0.023714299530509776,0.0005635477952343924,3.735400826378325,-5.516275488461813e-19,6.505213034913027e-19,2.168404344971009e-19,recent,MTRN,daily raw-return market + industries,total returns; intercept is not excess-return alpha
1434,4,2021-01-04,2026-09-18,0.0008547278240639434,-0.0007114184525206001,-0.001710150272448365,0.0002873133674071648,0.1626768317065429,0.6833364921383029,0.6826721631008308,0.0011346896499726672,0.000775374845077961,0.00035931480489470596,0.31666350786169706,0.018955600884559318,0.0003600686121777019,3.735400826378325,-1.3161639761943975e-18,1.4094628242311558e-18,2.710505431213761e-19,recent,ENTG,daily raw-return market + industries,total returns; intercept is not excess-return alpha
1434,4,2021-01-04,2026-09-18,0.002336823958666357,0.0012465086927823067,1.4279054935368175e-05,0.002478738330629245,0.047403630721240035,0.36676588453543857,0.3654374213561422,0.000894726014590082,0.00032815497815799925,0.0005665710364320827,0.6332341154645613,0.023802752707031232,0.0005677596469980242,3.735400826378325,2.903302888664112e-20,0.0,0.0,recent,CRS,daily raw-return market + industries,total returns; intercept is not excess-return alpha
1434,4,2021-01-04,2026-09-18,0.002073052739249692,0.0010551152961719543,-4.392965991387057e-05,0.0021541602522577794,0.05988725664559616,0.37803432847765117,0.3767295053905413,0.00074951663934183,0.00028334301943641464,0.0004661736199054155,0.6219656715223488,0.021591054163829414,0.00046715160652060166,3.735400826378325,-2.2258655479758195e-19,0.0,1.0842021724855044e-19,recent,ATI,daily raw-return market + industries,total returns; intercept is not excess-return alpha
102,2,2026-04-24,2026-09-18,0.004196372463011663,0.002313421236077686,-0.006466769054160763,0.011093611526316136,0.6055645648826007,0.15019576884297592,0.14169772653140567,0.002300659783978943,0.0003455493651008323,0.0019551104188781105,0.849804231157024,0.044216630569030364,0.001974661523066892,1.0000000000000002,-1.6071702792138066e-18,8.673617379884035e-19,0.0,matched,MTRN,daily raw-return market,total returns; intercept is not excess-return alpha
102,2,2026-04-24,2026-09-18,0.000835270873031141,-0.002451760999646883,-0.011052887906621324,0.006149365907327557,0.5763733317178592,0.40034973698902776,0.394353234358918,0.0026302694487806114,0.0010530276820295936,0.0015772417667510186,0.5996502630109722,0.03971450322931182,0.0015930141844185289,1.0000000000000002,4.0817022964160166e-19,2.168404344971009e-19,8.673617379884035e-19,matched,ENTG,daily raw-return market,total returns; intercept is not excess-return alpha
