panel,ticker,n,mean,variance,volatility
long,MTRN,2693,6.390069395354596e-19,0.0004940582589839873,0.022227421330059574
long,ENTG,2693,1.195561370743763e-18,0.0002923824975946242,0.017099195817190473
long,CRS,2693,6.183938124536706e-19,0.0005415623274389425,0.023271491732137467
long,ATI,2693,9.688169728440839e-19,0.0006997359777306426,0.02645252308817899
recent,MTRN,1434,-5.516275488461813e-19,0.0005623680022227363,0.023714299530509776
recent,ENTG,1434,-1.3161639761943975e-18,0.00035931480489470596,0.018955600884559318
recent,CRS,1434,2.903302888664112e-20,0.0005665710364320827,0.023802752707031232
recent,ATI,1434,-2.2258655479758195e-19,0.0004661736199054155,0.021591054163829414
matched,MTRN,102,-1.6071702792138066e-18,0.0019551104188781105,0.044216630569030364
matched,ENTG,102,4.0817022964160166e-19,0.0015772417667510186,0.03971450322931182
matched,CRS,102,-5.357234264046022e-19,0.0005940564937142328,0.024373274168938256
matched,ATI,102,2.0408511482080083e-19,0.0006055427001224149,0.02460777722839702
matched,ELMT,102,-3.877617181595216e-18,0.003983838090988813,0.06311765276837228
