ticker,accession,filed,report_date,acceptance,filing_path,release_path,release_date,session,same_day_session,timing,date_evidence,eps,eps_prior,revenue_release_units,revenue_prior_release_units,operating_income_release_units,operating_income_prior_release_units,operating_margin,operating_margin_prior,prior_column,pre_release_price,earnings_change_scaled,operating_margin_change,source_url
ATI,0001628280-21-000940,2021-01-28,2021-01-28,2021-01-28T12:40:33.000Z,sources/earnings/ATI_0001628280-21-000940.html,sources/earnings/ATI_0001628280-21-000940_release.html,2021-01-28,2021-01-29,2021-01-28,date only; next session,"January 28, 2021",-8.85,0.41,658.3,1018.6,-1088.1,98.5,-1.6528938174084764,0.09670135480070685,2,18.200000762939453,-0.5087911874628093,-1.7495951722091831,https://www.sec.gov/Archives/edgar/data/1018963/000162828021000940/
ATI,0001628280-21-008035,2021-04-29,2021-04-29,2021-04-29T11:37:42.000Z,sources/earnings/ATI_0001628280-21-008035.html,sources/earnings/ATI_0001628280-21-008035_release.html,2021-04-29,2021-04-30,2021-04-29,date only; next session,"April 29, 2021",-0.06,0.16,692.5,955.5,31.8,68.4,0.04592057761732852,0.07158555729984302,2,24.040000915527344,-0.009151413960966318,-0.0256649796825145,https://www.sec.gov/Archives/edgar/data/1018963/000162828021008035/
ATI,0001628280-21-015240,2021-08-03,2021-08-03,2021-08-03T11:35:07.000Z,sources/earnings/ATI_0001628280-21-015240.html,sources/earnings/ATI_0001628280-21-015240_release.html,2021-08-03,2021-08-04,2021-08-03,date only; next session,"August 3, 2021",-0.39,-3.34,616.2,770.3,-11.3,-273.4,-0.018338201882505678,-0.35492665195378426,2,19.75,0.14936708860759493,0.3365884500712786,https://www.sec.gov/Archives/edgar/data/1018963/000162828021015240/
ATI,0001628280-21-020694,2021-10-28,2021-10-28,2021-10-28T11:35:44.000Z,sources/earnings/ATI_0001628280-21-020694.html,sources/earnings/ATI_0001628280-21-020694_release.html,2021-10-28,2021-10-29,2021-10-28,date only; next session,"October 28, 2021",0.35,-0.4,725.7,598.0,29.9,-9.6,0.041201598456662526,-0.016053511705685617,2,14.9399995803833,0.05020080462283105,0.05725511016234815,https://www.sec.gov/Archives/edgar/data/1018963/000162828021020694/
ATI,0001628280-22-001628,2022-02-02,2022-02-02,2022-02-02T12:51:39.000Z,sources/earnings/ATI_0001628280-22-001628.html,sources/earnings/ATI_0001628280-22-001628_release.html,2022-02-02,2022-02-03,2022-02-02,date only; next session,"February 2, 2022",-0.23,-8.85,765.4,658.3,67.2,-1088.1,0.08779723020642802,-1.6528938174084764,2,18.809999465942383,0.45826689233072426,1.7406910476149045,https://www.sec.gov/Archives/edgar/data/1018963/000162828022001628/
ATI,0001628280-22-012142,2022-05-04,2022-05-04,2022-05-04T11:39:23.000Z,sources/earnings/ATI_0001628280-22-012142.html,sources/earnings/ATI_0001628280-22-012142_release.html,2022-05-04,2022-05-05,2022-05-04,date only; next session,"May 4, 2022",0.23,-0.06,834.1,692.5,77.0,31.8,0.09231507013547537,0.04592057761732852,2,27.920000076293945,0.010386819455857758,0.04639449251814685,https://www.sec.gov/Archives/edgar/data/1018963/000162828022012142/
ATI,0001628280-22-020867,2022-08-04,2022-08-04,2022-08-04T11:40:26.000Z,sources/earnings/ATI_0001628280-22-020867.html,sources/earnings/ATI_0001628280-22-020867_release.html,2022-08-04,2022-08-05,2022-08-04,date only; next session,"August 4, 2022",-0.31,-0.39,959.5,616.2,-11.6,-11.3,-0.012089630015633141,-0.018338201882505678,2,25.350000381469727,0.0031558184929448047,0.006248571866872537,https://www.sec.gov/Archives/edgar/data/1018963/000162828022020867/
ATI,0001628280-22-027662,2022-11-02,2022-11-02,2022-11-02T11:35:47.000Z,sources/earnings/ATI_0001628280-22-027662.html,sources/earnings/ATI_0001628280-22-027662_release.html,2022-11-02,2022-11-03,2022-11-02,date only; next session,"November 2, 2022",0.42,0.35,1032.0,725.7,113.2,29.9,0.10968992248062016,0.041201598456662526,2,31.09000015258789,0.002251527811400583,0.06848832402395763,https://www.sec.gov/Archives/edgar/data/1018963/000162828022027662/
ATI,0001628280-23-001965,2023-02-02,2023-02-02,2023-02-02T12:34:40.000Z,sources/earnings/ATI_0001628280-23-001965.html,sources/earnings/ATI_0001628280-23-001965_release.html,2023-02-02,2023-02-03,2023-02-02,date only; next session,"February 2, 2023",0.53,-0.23,1010.4,765.4,108.7,67.2,0.10758115597783056,0.08779723020642802,2,36.7400016784668,0.020685899980386602,0.019783925771402547,https://www.sec.gov/Archives/edgar/data/1018963/000162828023001965/
ATI,0001628280-23-015453,2023-05-04,2023-05-04,2023-05-04T11:32:46.000Z,sources/earnings/ATI_0001628280-23-015453.html,sources/earnings/ATI_0001628280-23-015453_release.html,2023-05-04,2023-05-05,2023-05-04,date only; next session,"May 4, 2023",0.48,0.23,1038.1,834.1,112.6,77.0,0.10846739235141123,0.09231507013547537,2,38.0,0.006578947368421052,0.016152322215935863,https://www.sec.gov/Archives/edgar/data/1018963/000162828023015453/
