ticker,window,mapping,benchmark,count,mean,var
ATI,primary,conservative,market,23,0.02793298160846893,0.011133086100546662
ATI,primary,conservative,market + industries,23,0.029825847943338892,0.010700005132643915
ATI,primary,same_date,market,23,0.029318686969073308,0.011345222255591071
ATI,primary,same_date,market + industries,23,0.031003844922241734,0.010921043942923592
ATI,short,conservative,market,23,0.00805683486335545,0.0014965705996763223
ATI,short,conservative,market + industries,23,0.00762901560542521,0.0014301682694980507
ATI,short,same_date,market,23,0.024556632341398776,0.011187744675515724
ATI,short,same_date,market + industries,23,0.02699256480240565,0.010951672353208427
ATI,wide,conservative,market,23,0.031182820861081765,0.01423168146131887
ATI,wide,conservative,market + industries,23,0.025482167534281647,0.012872423976139273
ATI,wide,same_date,market,23,0.03611945179476595,0.013128441381134191
ATI,wide,same_date,market + industries,23,0.03302456706054209,0.012501068346357384
CRS,primary,conservative,market,23,0.018392044222108123,0.0074013727957292766
CRS,primary,conservative,market + industries,23,0.014652273787432175,0.007118437333553063
CRS,primary,same_date,market,23,0.01968767892985375,0.007870433926501426
CRS,primary,same_date,market + industries,23,0.01798190889268714,0.007248379809614854
CRS,short,conservative,market,23,0.0069279079681358975,0.0011554296108600586
CRS,short,conservative,market + industries,23,0.0034899374812171233,0.0013320875502656653
CRS,short,same_date,market,23,0.013398489368202,0.007302538036263975
CRS,short,same_date,market + industries,23,0.009628190199793154,0.006932685437786715
CRS,wide,conservative,market,23,0.021356108547687994,0.009550218039663844
CRS,wide,conservative,market + industries,23,0.013647527588703412,0.008703378071524985
CRS,wide,same_date,market,23,0.022280062144826647,0.008813251658049923
CRS,wide,same_date,market + industries,23,0.019372284928825444,0.008563856373965404
ENTG,primary,conservative,market,23,-0.012104567359742061,0.007671215760158645
ENTG,primary,conservative,market + industries,23,-0.01569167855483482,0.006651371453634514
ENTG,primary,same_date,market,23,-0.006515195330210355,0.006725020163343098
ENTG,primary,same_date,market + industries,23,-0.011177535454885307,0.006603095543969034
ENTG,short,conservative,market,23,-0.009399113286963068,0.0025500574082394267
ENTG,short,conservative,market + industries,23,-0.006606265708412965,0.0024943001468331633
ENTG,short,same_date,market,23,-0.012127497871065094,0.0069685384603880825
ENTG,short,same_date,market + industries,23,-0.012620876036599083,0.00640689008629964
ENTG,wide,conservative,market,23,-0.011413812609863164,0.01226646268096259
ENTG,wide,conservative,market + industries,23,-0.021506235222182372,0.010844358532083332
ENTG,wide,same_date,market,23,-0.011244156222560543,0.010906014013190824
ENTG,wide,same_date,market + industries,23,-0.017855249147513713,0.009780137139408602
MTRN,primary,conservative,market,23,0.040777592829159486,0.01276128227313668
MTRN,primary,conservative,market + industries,23,0.04064642837665382,0.013325083183029475
MTRN,primary,same_date,market,23,0.04613845890129432,0.01304645243276305
MTRN,primary,same_date,market + industries,23,0.04496956974822757,0.013512252494799431
MTRN,short,conservative,market,23,-0.0037872910601219746,0.0028780842461445283
MTRN,short,conservative,market + industries,23,-0.004598283822507608,0.0027897657254419973
MTRN,short,same_date,market,23,0.04367625415036678,0.011674065842963044
MTRN,short,same_date,market + industries,23,0.04341057579098782,0.012272685962283413
MTRN,wide,conservative,market,23,0.03754989991519444,0.011880224999436638
MTRN,wide,conservative,market + industries,23,0.03327635249047476,0.012663801547925959
MTRN,wide,same_date,market,23,0.042451686384280034,0.013582570191413896
MTRN,wide,same_date,market + industries,23,0.03855211022746555,0.013961321468482625
