,MKT,SMB,HML,RF,MOM,SEMIS,DEFENSE,D_NOMINAL,MKT5,SMB5,HML5,RMW,CMA
MKT,1.0,0.31489127162887637,-0.018269387213123538,-0.011872082115938681,-0.3060787589322486,0.7550788158346772,0.7312013603031376,-0.13651871140516372,0.999998508621376,0.3111685698091773,-0.018269387213123538,-0.049454469726265424,-0.243824040852852
SMB,0.31489127162887637,1.0,0.10223682776498369,-0.12326505356905981,-0.3160051140962796,0.278011270328688,0.30914807204937217,0.02915378065222895,0.31428832326738937,0.956423241378856,0.10223682776498369,-0.3714216266787317,-0.08792192000763015
HML,-0.018269387213123538,0.10223682776498369,1.0,-0.0618331154525181,-0.2743900285864807,-0.11978193779025366,0.2421935133457568,0.33724867632415,-0.018350887597836856,0.35884861866723033,1.0,0.14849163913257507,0.6319312328875794
RF,-0.011872082115938681,-0.12326505356905981,-0.0618331154525181,1.0,0.06256600305699966,0.014505440619769532,0.024226611566652907,-0.03539965059644973,-0.01172577257821106,-0.12229241712197819,-0.06183311545251813,-0.09350758725464187,-0.15359130029545012
MOM,-0.3060787589322486,-0.3160051140962796,-0.2743900285864807,0.06256600305699966,1.0,-0.10535701552765774,-0.3105163734597159,-0.0362097580091995,-0.3058310333974686,-0.3974503897402269,-0.2743900285864807,-0.19557590560222862,-0.009731425878154884
SEMIS,0.7550788158346772,0.278011270328688,-0.11978193779025366,0.014505440619769532,-0.10535701552765774,1.0,0.4790097934359444,-0.211722352293805,0.7549952361296639,0.22831396683338948,-0.1197819377902537,-0.2561090808483536,-0.3162090034012126
DEFENSE,0.7312013603031376,0.30914807204937217,0.2421935133457568,0.024226611566652907,-0.3105163734597159,0.4790097934359444,1.0,-0.00634162230862297,0.7310542544966725,0.3887374951764114,0.2421935133457568,-0.01255189014842049,-0.01143961456696628
D_NOMINAL,-0.13651871140516372,0.02915378065222895,0.33724867632415,-0.03539965059644973,-0.0362097580091995,-0.211722352293805,-0.00634162230862297,1.0,-0.13674751566529034,0.1063395330965853,0.33724867632415,0.030633378777546103,0.16540644938394103
MKT5,0.999998508621376,0.31428832326738937,-0.018350887597836856,-0.01172577257821106,-0.3058310333974686,0.7549952361296639,0.7310542544966725,-0.13674751566529034,1.0,0.310598949357555,-0.01835088759783687,-0.04920544604102118,-0.24365618383163634
SMB5,0.3111685698091773,0.956423241378856,0.35884861866723033,-0.12229241712197819,-0.3974503897402269,0.22831396683338948,0.3887374951764114,0.1063395330965853,0.310598949357555,1.0,0.3588486186672303,-0.26669310292580906,0.06908516172173154
HML5,-0.018269387213123538,0.10223682776498369,1.0,-0.06183311545251813,-0.2743900285864807,-0.1197819377902537,0.2421935133457568,0.33724867632415,-0.01835088759783687,0.3588486186672303,1.0,0.14849163913257507,0.6319312328875794
RMW,-0.049454469726265424,-0.3714216266787317,0.14849163913257507,-0.09350758725464187,-0.19557590560222862,-0.2561090808483536,-0.01255189014842049,0.030633378777546103,-0.04920544604102118,-0.26669310292580906,0.14849163913257507,1.0,0.21944169321475354
CMA,-0.243824040852852,-0.08792192000763015,0.6319312328875794,-0.15359130029545012,-0.009731425878154884,-0.3162090034012126,-0.01143961456696628,0.16540644938394103,-0.24365618383163634,0.06908516172173154,0.6319312328875794,0.21944169321475354,1.0
