ticker,n,start,end,mean,mean_se,mean_lo,mean_hi,variance,var_lo,var_hi,volatility,vol_lo,vol_hi,lag1_autocorrelation,block,reps,panel,frequency,basis,vol_annual,vol_annual_lo,vol_annual_hi
MTRN,2693,2016-01-04,2026-09-18,0.0011931807729230056,0.00047288082048456827,0.00031376736482610233,0.002154452205130032,0.0007073417478488525,0.0005704309900142838,0.0008689385128456159,0.026595897199546633,0.02388369715965859,0.02947776302309278,-0.06094938725638668,10,2000,long,daily,total,0.4221967793078375,0.3791419384394181,0.46794498099359416
ENTG,2693,2016-01-04,2026-09-18,0.0013275959888046215,0.0005124536419649238,0.0004026661501493999,0.0023634095872139614,0.0008603407027672281,0.0007385876934650904,0.0009935903286262576,0.029331564955986034,0.027176969909559277,0.0315212678778354,-0.09024171932539464,10,2000,long,daily,total,0.46562415862725753,0.4314210226138763,0.500384614885207
CRS,2693,2016-01-04,2026-09-18,0.0015057053733916633,0.0005745437132652034,0.0004444605497146478,0.002682639212013225,0.0009461447492329613,0.0008027930452465986,0.001133500481953303,0.030759466010205076,0.02833360275797271,0.033667498896611,-0.014433258777101566,10,2000,long,daily,total,0.48829138514488074,0.4497819998645376,0.5344549760758452
ATI,2693,2016-01-04,2026-09-18,0.001609317995633094,0.0006707532257985279,0.0004007999105120116,0.0029870815766162248,0.0011093487649985719,0.0009061359159944072,0.0013529051715723338,0.03330688765103356,0.030102091555146253,0.03678185927291242,0.028521394726268585,10,2000,long,daily,total,0.5287304500212184,0.47785588918688726,0.5838939143682079
MTRN,2659,2016-01-04,2026-07-31,0.0010290794122073225,0.00045749438002774725,0.0002430739480048888,0.0019704240588586004,0.0006662338140444281,0.0005409507095801492,0.0008067959213948688,0.02581150545869861,0.023258347094756094,0.028404153241997354,-0.06721499146242846,10,2000,long,daily,excess,0.4097449464474161,0.3692148139148775,0.45090195407816425
ENTG,2659,2016-01-04,2026-07-31,0.0011730816649515095,0.0005089640146762114,0.00024867651602896454,0.0022330793806469044,0.0008427149876043128,0.000715701840842463,0.0009748426857025905,0.029029553692819888,0.026752604374947555,0.03122247084557195,-0.09589647644884862,10,2000,long,daily,excess,0.4608298784543889,0.4246844285964588,0.4956413590460877
CRS,2659,2016-01-04,2026-07-31,0.0015213506824735712,0.0005821953570404641,0.00044278402177329535,0.0027769220021803876,0.000950126272968703,0.0007977181912024863,0.0011435528133871612,0.03082411836482437,0.028243905381559513,0.03381645772973806,-0.01732859331106457,10,2000,long,daily,excess,0.4893177094568652,0.448358098157072,0.5368196242440888
ATI,2659,2016-01-04,2026-07-31,0.001526186787770538,0.0006719331220729547,0.0003283015570610181,0.002940502145756518,0.0011135040484479969,0.000913834608231174,0.0013726136949894353,0.033369208088415835,0.030229697455171033,0.03704880153243065,0.025825205104700627,10,2000,long,daily,excess,0.52971975629468,0.4798815700506281,0.5881314913668012
MTRN,559,2016-01-08,2026-09-18,0.005643822238127988,0.002186040497226399,0.0017076706984795347,0.010156455897474206,0.0032648873248903743,0.0024611403197293603,0.004199215026760545,0.05713919254671328,0.04960988127106696,0.06480135050105472,-0.0769166695830525,5,2000,long,weekly,total,0.41203657713156905,0.3577419413850251,0.4672891839017337
ENTG,559,2016-01-08,2026-09-18,0.006184882651710746,0.0022117114935520017,0.0020222004742064775,0.010650051880433147,0.003713586738284924,0.0030445330917431503,0.004469510231147999,0.060939205264631764,0.055177287825183566,0.0668543957503768,-0.030578833791326587,5,2000,long,weekly,total,0.4394388585353098,0.3978890809894685,0.48209390373629074
CRS,559,2016-01-08,2026-09-18,0.007445444029596648,0.0028056872126434322,0.002125983267603769,0.013114776648302975,0.004899737820523339,0.003656221451443057,0.006428218351024928,0.06999812726440142,0.060466697044266084,0.08017617071814373,-0.03309885179757777,5,2000,long,weekly,total,0.5047636740765064,0.4360315533020964,0.5781585891892433
ATI,559,2016-01-08,2026-09-18,0.007941195727642538,0.0031239330960315588,0.002031927769552515,0.01444360466448298,0.005687868211481459,0.003967908097647848,0.007893177283130876,0.07541795682383247,0.06299133351222093,0.08884355510182422,-0.01612444479729886,5,2000,long,weekly,total,0.5438466208381144,0.4542369657763314,0.6406599868282751
MTRN,552,2016-01-08,2026-07-31,0.004817862419517992,0.00216762479016352,0.001055398091973356,0.009631447426737754,0.0029871531983315914,0.002323848683317636,0.003689801701878718,0.05465485521279506,0.04820631372878075,0.060743737964326146,-0.04975498676911393,5,2000,long,weekly,excess,0.3941217658455858,0.3476206719004453,0.43802932378745296
ENTG,552,2016-01-08,2026-07-31,0.00542581826645557,0.002227632849921361,0.0016318718800195477,0.010280564985695384,0.0035888611962610457,0.0029304721997305324,0.004254982060532518,0.05990710472273757,0.054133835996819334,0.06523022352048564,-0.02748671446283834,5,2000,long,weekly,excess,0.4319962756848424,0.39036464284818073,0.4703818312261762
CRS,552,2016-01-08,2026-07-31,0.007510837093571832,0.0028019387143660202,0.0022969907733534616,0.013461134645215653,0.004893649404097449,0.003633482889622662,0.0065486140406523785,0.06995462389361727,0.06027837829290584,0.08092350734275164,-0.033667940401963005,5,2000,long,weekly,excess,0.5044499668084708,0.43467356747377495,0.5835477102293554
ATI,552,2016-01-08,2026-07-31,0.007516302987661932,0.0030635206375246187,0.0019803912033711716,0.013989974081609236,0.005652616591414364,0.003934423170741694,0.007858095187407179,0.07518388518435559,0.06272498043635959,0.08864589774720079,-0.012648364329763519,5,2000,long,weekly,excess,0.5421587062415828,0.45231626643154016,0.6392346593741404
MTRN,1434,2021-01-04,2026-09-18,0.0013569454094073759,0.0006677641317293734,4.0216918617283724e-05,0.0026269339653522124,0.000770119387084182,0.00058963597453023,0.0010198822285527398,0.027751024973578578,0.024282421101081128,0.03193559500859096,-0.013390001700185597,10,2000,recent,daily,total,0.4405338642433903,0.38547148478404725,0.506961854181644
ENTG,1434,2021-01-04,2026-09-18,0.0008547278240639434,0.0008144123733109427,-0.0009069132183823734,0.002306115584843258,0.0011346896499726672,0.0009487133023648095,0.0013625007613434351,0.03368515474170584,0.03080118995046798,0.036912067963518855,-0.07433271655736712,10,2000,recent,daily,total,0.5347352539276911,0.4889537321628009,0.5859609132515117
CRS,1434,2021-01-04,2026-09-18,0.002336823958666357,0.0007704829921032012,0.0007761392121864828,0.003838423569488888,0.000894726014590082,0.0007688625728364708,0.00101309896959898,0.029911971091689728,0.02772837126187672,0.0318292156610712,-0.0051798413935499246,10,2000,recent,daily,total,0.47483782039418543,0.44017424771877633,0.5052731343926203
ATI,1434,2021-01-04,2026-09-18,0.002073052739249692,0.0007257919254731363,0.0006569011210114482,0.0034365149973803583,0.00074951663934183,0.0006342494432020285,0.0008588084702429935,0.027377301535064225,0.02518430946446673,0.0293054341418617,-0.00165515955565434,10,2000,recent,daily,total,0.43460118857884084,0.3997885187032154,0.4652093448128857
MTRN,1400,2021-01-04,2026-07-31,0.0010896043233341389,0.0006438654459311424,-9.556403193114525e-05,0.002380869514380631,0.0006934964352978732,0.0005533909635622069,0.0008190684664102242,0.026334320482933923,0.023524263294781557,0.028619372222503835,-0.01835704550546464,10,2000,recent,daily,excess,0.4180443776623052,0.3734361027239816,0.4543184494772103
ENTG,1400,2021-01-04,2026-07-31,0.0005901341778306532,0.0007882274213978666,-0.0009333841297091146,0.0021125403726754586,0.0011075725473371168,0.0009128833222801915,0.0013151643732737925,0.033280212549458225,0.030213959063323553,0.03626519506736166,-0.08202065946340513,10,2000,recent,daily,excess,0.528306995911424,0.47963173082544097,0.5756921243729114
CRS,1400,2021-01-04,2026-07-31,0.0024270803220578807,0.0007776591198197576,0.0008976316271136766,0.003924940053134133,0.0009006824591522237,0.0007733789206033146,0.0010209152258696787,0.030011372163768583,0.0278096911274346,0.03195176404941797,-0.011219192825831533,10,2000,recent,daily,excess,0.47641576349482856,0.44146516056426843,0.5072185297474443
ATI,1400,2021-01-04,2026-07-31,0.0019667820960899965,0.0007218516416678145,0.0005230890765364621,0.0033650649480923547,0.0007485371504429431,0.0006309799791793763,0.0008630881183272402,0.027359406982662163,0.025119314862857553,0.029378361396225627,-0.010227909882380103,10,2000,recent,daily,excess,0.4343171213659688,0.39875676138869776,0.4663670290859599
MTRN,298,2021-01-08,2026-09-18,0.006427421055817689,0.0029019368694851526,0.0003690681107809877,0.011820649022441745,0.0035889377524250987,0.002456336091677907,0.005200391555753785,0.05990774367663248,0.04956143754652307,0.07211374040884154,-0.11750897486298034,5,2000,recent,weekly,total,0.43200088324690394,0.3573926087193902,0.5200195774191553
ENTG,298,2021-01-08,2026-09-18,0.003745866047673627,0.0033840809899860075,-0.0031766998578165433,0.010010478875420312,0.004705588004425366,0.0036281718151237037,0.0059320405611393325,0.06859728860840905,0.06023430762550279,0.07701974137284111,-0.01903502171500321,5,2000,recent,weekly,total,0.49466208287084124,0.4343557693716437,0.5553972534855076
CRS,298,2021-01-08,2026-09-18,0.011303034030100405,0.003790362019632539,0.0037229694034680277,0.018894311391384533,0.004474225618997955,0.0034396600352803947,0.005538828556932747,0.06688965255551829,0.058648614947672845,0.07442330654393654,0.011953207862698791,5,2000,recent,weekly,total,0.48234814417378413,0.4229211768575564,0.5366740956674757
ATI,298,2021-01-08,2026-09-18,0.009901077153666135,0.0035898597139199726,0.002809589329037878,0.017165654097678573,0.003479320414751067,0.002702096854965291,0.004353693267642374,0.0589857645093379,0.05198169730746863,0.06598252244073709,0.07861462373882637,5,2000,recent,weekly,total,0.42535239692172355,0.37484535005545305,0.4758067358890618
