peer,n,start,end,mean_difference,mean_diff_lo,mean_diff_hi,variance_ratio,variance_ratio_lo,variance_ratio_hi,volatility_ratio,vol_ratio_lo,vol_ratio_hi,panel,frequency,basis
ENTG,2693,2016-01-04,2026-09-18,-0.0001344152158816159,-0.0010794943998618646,0.0008789502748240608,0.8221646907716156,0.6757728940291607,0.9851246453545017,0.906732976554628,0.8220540700155682,0.9925344554999095,long,daily,total
CRS,2693,2016-01-04,2026-09-18,-0.00031252460046865766,-0.001431339445439758,0.0007424789456514586,0.7476041572098707,0.6315511985412425,0.9033671349342063,0.8646410568610946,0.7947019557930146,0.9504562772343641,long,daily,total
ATI,2693,2016-01-04,2026-09-18,-0.00041613722271008845,-0.0016423237068044693,0.0007573277491032826,0.6376189077469817,0.5201740234383659,0.7905161618035087,0.7985104305812052,0.7212309085434192,0.8891097580183837,long,daily,total
ENTG,2659,2016-01-04,2026-07-31,-0.00014400225274418697,-0.0011316802719316841,0.0009116608004603156,0.7905802363126483,0.6570748852149804,0.9484774121974143,0.8891457902462612,0.8106015576193895,0.9738980502072146,long,daily,excess
CRS,2659,2016-01-04,2026-07-31,-0.0004922712702662487,-0.001518015534555355,0.000577660047080633,0.7012055481454661,0.6035232348759746,0.7984572098494866,0.8373801694245369,0.7768675787262425,0.893564328881523,long,daily,excess
ATI,2659,2016-01-04,2026-07-31,-0.0004971073755632154,-0.0016462119905140582,0.0007232603922135652,0.5983218605922678,0.500421870285883,0.6955493080192484,0.7735126764263581,0.7074050256295067,0.8339959880114822,long,daily,excess
ENTG,559,2016-01-08,2026-09-18,-0.0005410604135827578,-0.005051629557998232,0.0040961172873916945,0.8791735739551417,0.6743587273786702,1.126600440210785,0.9376425619366592,0.8211934774331018,1.0614143583967504,long,weekly,total
CRS,559,2016-01-08,2026-09-18,-0.0018016217914686595,-0.007478930423264187,0.003519770977086038,0.6663391888469765,0.5071847249496856,0.917250841146547,0.8162960179046426,0.7121690283561098,0.9577321343395276,long,weekly,total
ATI,559,2016-01-08,2026-09-18,-0.0022973734895145497,-0.00843198211565978,0.0032884717797425312,0.574008961441813,0.4211432331538364,0.8192541288380923,0.7576337911166667,0.6489554939699921,0.9051265816658421,long,weekly,total
ENTG,552,2016-01-08,2026-07-31,-0.0006079558469375777,-0.004978492861716485,0.004047662454528778,0.8323401310264307,0.6464167195584755,1.0810475802281465,0.9123267676805448,0.8040004474864896,1.0397343796509504,long,weekly,excess
CRS,552,2016-01-08,2026-07-31,-0.0026929746740538395,-0.008095897755298828,0.0033057108094003353,0.6104142229376813,0.47736206288291855,0.8054992818198002,0.781290101650905,0.6909139330502161,0.8974961179970642,long,weekly,excess
ATI,552,2016-01-08,2026-07-31,-0.0026984405681439397,-0.008365296413056575,0.0031679385610676072,0.5284549464877405,0.39829495486169836,0.7300601539814504,0.7269490673271,0.6311061359721504,0.8544355762615754,long,weekly,excess
