peer,n,intercept_difference,intercept_diff_lo,intercept_diff_hi,residual_variance_ratio,variance_ratio_lo,variance_ratio_hi,residual_volatility_ratio,volatility_ratio_lo,volatility_ratio_hi,panel,frequency,model,basis
ENTG,127,0.0057775328029909,-0.010051737857797198,0.02434604652339635,1.2205025815310773,0.7575198543239956,1.9723529224182754,1.1047635862622724,0.8703561652128372,1.4044048285370836,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
CRS,127,-0.009104126835397583,-0.03235099592897587,0.016538728330410493,0.7382751034345669,0.4291154737686338,1.1342770554299435,0.8592293660219994,0.6550690603048154,1.0650244388885841,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ATI,127,-0.011274706873823308,-0.031535819407387804,0.014952193412120975,0.5766569643140598,0.3515284208489796,0.8553695015896876,0.759379328342601,0.5928983225216442,0.9248618824395822,long,monthly,MKT + SMB + HML + MOM + SEMIS + DEFENSE,excess
ENTG,67,0.01056794615767355,-0.025874532978568905,0.041289344990698314,0.6639680013594267,0.32134553115929815,1.4997032400867187,0.8148423168683784,0.5668734701494665,1.2246237136715583,recent,monthly,MKT + SMB + HML + MOM,excess
CRS,67,-0.02660397282392508,-0.07084271999186238,0.016075074902237627,0.5510650743662064,0.24893946840882777,0.8915986381741747,0.7423375744000882,0.49893834128961045,0.944245009610416,recent,monthly,MKT + SMB + HML + MOM,excess
ATI,67,-0.017796754273724933,-0.05552230794463071,0.020388825975923598,0.562344570299904,0.24381489412335502,0.9646391118925189,0.749896373040905,0.4937761579130315,0.9821604308322134,recent,monthly,MKT + SMB + HML + MOM,excess
ENTG,102,0.0047651822357245585,-0.0013818721505470368,0.011872947455973054,1.2395756060311984,0.4234918213550572,2.9020176485821936,1.1133622977410356,0.6507624922773724,1.703530935610561,matched,daily,SPY,total
CRS,102,0.003599556403109698,-0.0032440295936309893,0.01131380656364747,3.2911186723237917,1.1748510697974375,7.453599471177738,1.8141440605210468,1.0839054708771598,2.7301281052686406,matched,daily,SPY,total
ATI,102,0.0010194906370329312,-0.005186151565219154,0.006884161806544092,3.2286912524630766,1.242989254745482,6.76341780542296,1.7968559353668498,1.1148942796272128,2.600657187216908,matched,daily,SPY,total
ELMT,102,0.0002466250756144933,-0.00953464323049807,0.011541680641822748,0.4907605114024197,0.14385268484719016,2.2031177672526003,0.7005430118147062,0.37927916479446927,1.4842903244488932,matched,daily,SPY,total
ENTG,2693,0.000479165616302208,-0.0003836826302706315,0.0014637459120573943,1.6897668740383314,1.3115462339793655,2.1308833367884503,1.2999103330762207,1.145227590472464,1.4597545467606705,long,daily,SPY + SOXX + ITA,total
CRS,2693,-0.0001270359771224969,-0.0011826785816370156,0.0009236385631672875,0.9122832847705601,0.729944147994552,1.1676122348704554,0.9551352180558311,0.8543676889925976,1.0805610741047704,long,daily,SPY + SOXX + ITA,total
ATI,2693,-0.00025992833839000334,-0.0013489926966645195,0.0008555007279013433,0.7060638222237753,0.5443433062174338,0.9212094014459928,0.8402760393012377,0.7377962497989765,0.9597965416930783,long,daily,SPY + SOXX + ITA,total
ENTG,1434,0.0011577674603320503,-0.0002109163911335373,0.0024596039375096063,1.5651122485407551,1.0962434839527626,2.229177532417495,1.2510444630550728,1.0470164678517537,1.4930430443954035,recent,daily,SPY + SOXX + ITA,total
CRS,1434,-0.0008001596849708588,-0.0024341148637095304,0.0008045423701356706,0.9925816288883826,0.710335521414193,1.4575523775012926,0.9962839097809332,0.84281404913195,1.2072913391146698,recent,daily,SPY + SOXX + ITA,total
ATI,1434,-0.0006087662883605043,-0.0020574176625761807,0.0008060873484767755,1.2063488327306855,0.8549425821458188,1.7544258485900628,1.098339124647158,0.92463105190439,1.3245474127376728,recent,daily,SPY + SOXX + ITA,total
