ticker,period_end,vintage,revenue,operating_income,net_income,eps,cfo,equipment_capex
MTRN,2020-03-27,cutoff recast; directly disclosed quarters only,277.946,-5.568,-3.878,-0.19,9.13,14.789
MTRN,2020-06-26,cutoff recast; directly disclosed quarters only,271.468,7.571,5.803,0.28,,
MTRN,2020-09-25,cutoff recast; directly disclosed quarters only,287.171,-0.616,5.471,0.27,,
MTRN,2020-12-31,cutoff recast; directly disclosed quarters only,339.689,6.828,8.066,0.39,,
MTRN,2021-04-02,cutoff recast; directly disclosed quarters only,354.386,19.718,16.767,0.81,15.45,31.25
MTRN,2021-07-02,cutoff recast; directly disclosed quarters only,370.999,20.723,17.868,0.87,,
MTRN,2021-10-01,cutoff recast; directly disclosed quarters only,388.028,21.16,18.156,0.88,,
MTRN,2022-04-01,cutoff recast; directly disclosed quarters only,449.045,19.606,14.019,0.68,-14.304,18.977
MTRN,2022-07-01,cutoff recast; directly disclosed quarters only,445.295,31.86,23.255,1.12,,
MTRN,2022-09-30,cutoff recast; directly disclosed quarters only,428.191,29.097,19.952,0.96,,
MTRN,2023-03-31,cutoff recast; directly disclosed quarters only,442.526,36.94,25.588,1.23,38.105,30.014
MTRN,2023-06-30,cutoff recast; directly disclosed quarters only,398.551,35.344,24.082,1.15,,
MTRN,2023-09-29,cutoff recast; directly disclosed quarters only,403.067,36.52,26.564,1.27,,
MTRN,2024-03-29,cutoff recast; directly disclosed quarters only,385.287,22.249,13.409,0.64,-13.805,21.314
MTRN,2024-06-28,cutoff recast; directly disclosed quarters only,425.866,32.062,19.036,0.91,,
MTRN,2024-09-27,cutoff recast; directly disclosed quarters only,436.715,31.259,22.294,1.07,,
MTRN,2025-03-28,cutoff recast; directly disclosed quarters only,420.33,27.195,17.698,0.85,15.502,12.321
MTRN,2025-06-27,cutoff recast; directly disclosed quarters only,431.658,36.819,25.14,1.21,,
MTRN,2025-09-26,cutoff recast; directly disclosed quarters only,444.808,34.943,25.412,1.22,,
MTRN,2026-04-03,cutoff recast; directly disclosed quarters only,549.824,28.175,19.373,0.92,-4.307,15.289
MTRN,2026-07-03,cutoff recast; directly disclosed quarters only,613.906,51.711,38.758,1.84,,
ENTG,2020-03-28,cutoff recast; directly disclosed quarters only,412.327,80.744,61.006,0.45,11.403,22.585
ENTG,2020-06-27,cutoff recast; directly disclosed quarters only,448.405,94.712,68.036,0.5,,
ENTG,2020-09-26,cutoff recast; directly disclosed quarters only,480.987,106.761,79.303,0.58,,
ENTG,2020-12-31,cutoff recast; directly disclosed quarters only,517.594,,86.624,0.63,,
ENTG,2021-04-03,cutoff recast; directly disclosed quarters only,512.844,113.978,84.676,0.62,53.115,43.33
ENTG,2021-07-03,cutoff recast; directly disclosed quarters only,571.352,138.889,88.77,0.65,,
ENTG,2021-10-02,cutoff recast; directly disclosed quarters only,579.493,139.357,117.461,0.86,,
ENTG,2021-12-31,cutoff recast; directly disclosed quarters only,635.204,,118.219,0.87,,
ENTG,2022-04-02,cutoff recast; directly disclosed quarters only,649.646,163.346,125.705,0.92,63.788,84.405
ENTG,2022-07-02,cutoff recast; directly disclosed quarters only,692.489,157.97,99.491,0.73,,
ENTG,2022-10-01,cutoff recast; directly disclosed quarters only,993.828,14.889,-73.703,-0.5,,
ENTG,2022-12-31,cutoff recast; directly disclosed quarters only,946.07,,57.427,0.38,,
ENTG,2023-04-01,cutoff recast; directly disclosed quarters only,922.396,13.466,-88.166,-0.59,151.871,133.992
ENTG,2023-07-01,cutoff recast; directly disclosed quarters only,901.0,267.614,197.646,1.31,,
