omitted_company,features,n,partial_r2_over_company_intercepts,earnings_change_scaled,operating_margin_change
none,earnings_change_scaled + operating_margin_change,92,0.042091536889302006,-0.13978158949330707,0.11032149714506401
none,earnings_change_scaled,92,0.038497743758546976,0.25483146216159547,
none,operating_margin_change,92,0.0416575026671554,,0.07270723761072227
MTRN,earnings_change_scaled + operating_margin_change,69,0.057033943802676235,-0.07405040023490525,0.0899151687018357
MTRN,earnings_change_scaled,69,0.053600206860134114,0.247041826122816,
MTRN,operating_margin_change,69,0.056857990314780116,,0.06993651569867279
ENTG,earnings_change_scaled + operating_margin_change,69,0.0670090400275064,-0.8466201727653255,0.31002218692871136
ENTG,earnings_change_scaled,69,0.0489666879322771,0.25776744691651915,
ENTG,operating_margin_change,69,0.056614717214559795,,0.07703676955030668
CRS,earnings_change_scaled + operating_margin_change,69,0.03929802558858175,0.09158492386197528,0.03991140748798162
CRS,earnings_change_scaled,69,0.03879269981814504,0.23310885981242932,
CRS,operating_margin_change,69,0.03909362779551173,,0.06485779755015006
ATI,earnings_change_scaled + operating_margin_change,69,0.0328022733624479,1.5628379408900972,-0.08240973818897032
ATI,earnings_change_scaled,69,0.031465333641604976,1.1278459124395728,
ATI,operating_margin_change,69,0.019379003462501654,,0.1478894371066679
